SKU_ID,Warehouse_ID,Current_Stock,Safety_Stock,Reorder_Point,Snapshot_Date,Lead_Time_Days,Inventory_Value
SKU0130,WH3,1260,298,211,1/13/2024,7,247143
SKU0009,WH5,1473,250,175,11/20/2024,27,139189
SKU0434,WH5,10,249,116,8/11/2023,18,235586
SKU0429,WH5,1031,208,372,3/31/2025,18,291663
SKU0035,WH4,1058,191,361,9/16/2025,17,191842
SKU0380,WH6,740,109,278,12/25/2025,17,185353
SKU0480,WH5,794,185,147,12/25/2023,24,128578
SKU0062,WH2,1372,87,486,7/13/2025,24,41929
SKU0462,WH8,1352,220,111,2/15/2024,27,147270
SKU0093,WH7,129,142,409,6/9/2025,9,186229
SKU0441,WH1,405,81,151,11/9/2023,24,223010
SKU0467,WH2,1084,133,261,11/20/2024,17,233491
SKU0356,WH4,464,222,164,10/16/2023,22,5263
SKU0302,WH4,1281,294,342,12/29/2024,27,208400
SKU0453,WH2,1239,263,488,7/28/2025,24,22621
SKU0081,WH2,741,135,169,10/12/2024,19,243225
SKU0354,WH2,1369,236,370,9/17/2023,24,9059
SKU0491,WH4,1474,178,417,2/9/2025,23,76461
SKU0470,WH7,1184,210,407,5/11/2024,25,13645
SKU0114,WH5,693,154,419,2/16/2025,14,19558
SKU0075,WH6,1296,278,467,3/28/2026,8,158870
SKU0414,WH4,544,80,389,8/12/2023,13,159812
SKU0306,WH5,1446,152,409,11/6/2023,24,119932
SKU0093,WH8,1002,256,107,2/17/2025,23,203264
SKU0271,WH8,111,183,232,7/9/2024,18,167544
SKU0292,WH2,368,293,445,11/24/2025,14,49739
SKU0423,WH6,152,82,300,10/4/2025,7,124940
SKU0465,WH6,313,119,376,2/24/2024,17,100948
SKU0444,WH6,845,252,462,4/20/2024,15,96964
SKU0155,WH6,863,96,442,7/29/2025,8,216705
SKU0054,WH5,429,135,186,4/9/2024,19,159394
SKU0002,WH3,863,195,347,6/13/2025,20,228788
SKU0070,WH1,133,167,447,3/9/2025,28,226625
SKU0260,WH5,349,251,170,6/15/2025,8,227711
SKU0215,WH8,1057,297,448,10/31/2025,8,43045
SKU0047,WH1,651,240,315,5/21/2024,29,53102
SKU0095,WH2,1327,269,282,12/8/2025,28,257637
SKU0176,WH1,741,219,282,4/25/2025,18,138949
SKU0441,WH3,557,139,120,4/2/2025,3,217298
SKU0321,WH6,806,171,303,9/13/2023,15,178945
SKU0492,WH4,1082,131,361,8/7/2025,12,8668
SKU0186,WH1,760,185,484,11/30/2023,10,206183
SKU0118,WH4,972,55,474,8/5/2025,8,242132
SKU0179,WH7,882,296,236,8/26/2023,4,75084
SKU0247,WH4,460,267,141,8/7/2024,24,290133
SKU0303,WH7,1380,96,185,8/22/2024,25,265278
SKU0333,WH5,109,80,265,3/15/2026,9,214896
SKU0326,WH1,902,146,100,5/18/2025,19,67087
SKU0162,WH6,864,270,127,1/8/2024,5,11530
SKU0421,WH5,948,132,173,9/22/2023,26,220578
SKU0464,WH6,788,204,192,12/2/2023,14,225808
SKU0183,WH6,310,108,465,5/1/2025,17,229220
SKU0352,WH1,110,131,177,2/23/2026,28,77161
SKU0300,WH7,296,53,219,8/4/2024,22,39926
SKU0207,WH3,102,136,240,2/24/2025,26,42705
SKU0116,WH3,1482,185,165,2/18/2024,6,203476
SKU0324,WH5,552,281,165,2/18/2024,2,92104
SKU0427,WH2,444,201,117,10/4/2023,15,121391
SKU0332,WH7,996,182,424,10/11/2023,6,117717
SKU0394,WH4,1457,225,423,7/4/2025,15,158039
SKU0450,WH4,569,252,476,1/15/2026,21,160673
SKU0344,WH1,905,156,322,1/2/2026,12,177064
SKU0272,WH3,1373,298,359,9/4/2023,2,211686
SKU0291,WH7,113,63,156,11/30/2023,5,35407
SKU0248,WH7,1337,188,494,4/24/2025,20,108776
SKU0040,WH5,718,126,421,5/2/2026,8,31333
SKU0465,WH2,803,71,364,7/11/2025,13,94984
SKU0239,WH7,192,281,176,3/1/2026,14,236168
SKU0072,WH8,597,191,219,9/21/2024,26,205515
SKU0349,WH1,889,69,161,7/8/2024,19,228511
SKU0446,WH3,1273,178,344,9/15/2024,5,11443
SKU0034,WH2,779,70,499,7/1/2025,11,48607
SKU0126,WH2,1032,100,309,1/3/2026,25,5604
SKU0170,WH5,686,138,136,9/3/2023,10,6996
SKU0479,WH5,489,141,384,5/15/2025,22,132246
SKU0246,WH3,727,150,259,3/4/2024,25,282183
SKU0465,WH7,1353,145,437,7/16/2023,16,57171
SKU0260,WH5,985,233,446,6/29/2024,16,137752
SKU0447,WH7,963,149,433,3/8/2025,15,139476
SKU0023,WH1,1114,85,364,11/13/2024,14,272560
SKU0139,WH4,206,179,453,10/20/2024,23,208692
SKU0023,WH1,78,89,366,11/28/2024,3,100824
SKU0189,WH6,952,206,250,4/9/2024,24,172065
SKU0325,WH1,459,225,252,5/20/2026,28,286556
SKU0436,WH2,286,159,309,11/30/2025,11,93430
SKU0487,WH7,1136,193,459,2/21/2024,3,154512
SKU0317,WH3,1449,268,362,12/17/2023,11,67564
SKU0480,WH8,1469,122,260,12/6/2025,8,22010
SKU0261,WH3,226,297,350,3/15/2025,11,157196
SKU0231,WH2,777,153,320,3/25/2024,8,179501
SKU0017,WH1,1460,158,361,1/19/2024,2,119568
SKU0087,WH1,787,182,103,12/15/2023,10,9164
SKU0290,WH4,880,234,180,2/11/2024,11,20355
SKU0094,WH4,1430,190,317,8/8/2025,27,154577
SKU0475,WH3,1239,286,116,5/10/2024,16,104946
SKU0481,WH1,719,138,332,6/11/2024,14,211287
SKU0144,WH6,322,182,383,4/1/2025,29,216692
SKU0121,WH4,194,287,456,7/12/2025,26,262844
SKU0364,WH7,25,186,485,12/22/2025,23,127390
SKU0351,WH2,270,98,301,7/18/2023,24,110290
SKU0388,WH1,833,196,194,5/2/2024,4,157830
SKU0255,WH8,1462,54,392,7/25/2023,15,13476
SKU0052,WH6,139,273,310,4/10/2025,12,98420
SKU0123,WH5,1077,185,492,1/13/2024,25,79896
SKU0276,WH4,1374,196,413,9/21/2025,20,292941
SKU0432,WH2,991,180,466,7/15/2024,29,267892
SKU0096,WH2,838,72,325,10/4/2024,23,291481
SKU0098,WH7,1070,92,181,7/13/2025,9,55619
SKU0435,WH5,543,59,354,2/11/2025,15,153156
SKU0429,WH7,280,133,437,10/10/2024,14,9918
SKU0371,WH7,1140,279,238,1/6/2026,17,292138
SKU0464,WH4,753,198,273,9/27/2023,29,167601
SKU0495,WH7,1407,196,159,10/10/2023,3,70162
SKU0221,WH3,885,127,368,8/26/2025,25,255187
SKU0433,WH2,826,115,133,2/14/2025,6,215804
SKU0232,WH1,974,273,308,10/16/2025,22,194349
SKU0477,WH3,958,203,449,8/23/2023,9,198688
SKU0440,WH6,786,214,374,6/19/2024,3,32503
SKU0003,WH2,164,158,163,2/27/2026,12,156931
SKU0042,WH2,1491,157,483,2/20/2025,20,110953
SKU0455,WH7,467,217,211,9/16/2023,10,296013
SKU0170,WH5,815,269,210,11/16/2025,28,171022
SKU0232,WH4,537,73,246,9/28/2024,29,262822
SKU0213,WH4,308,195,158,1/17/2025,14,240114
SKU0099,WH6,1477,194,223,2/5/2025,10,297319
SKU0357,WH5,1414,92,254,4/15/2025,10,212872
SKU0029,WH5,777,174,261,3/31/2025,20,139606
SKU0479,WH6,840,288,136,10/9/2024,18,280648
SKU0145,WH7,3,214,115,10/14/2025,17,120736
SKU0363,WH8,1141,165,199,5/6/2025,24,255054
SKU0469,WH3,534,196,287,2/21/2026,2,217129
SKU0156,WH3,1098,126,280,12/18/2024,11,261741
SKU0060,WH6,714,197,422,10/30/2024,7,220907
SKU0215,WH5,1117,258,395,4/2/2024,4,18568
SKU0479,WH3,1396,76,357,1/17/2025,20,109654
SKU0220,WH1,738,164,337,1/11/2024,16,74396
SKU0047,WH6,370,53,334,8/18/2024,29,290840
SKU0381,WH5,434,80,136,7/6/2025,24,19667
SKU0011,WH6,645,109,367,8/13/2024,18,13865
SKU0321,WH4,1189,139,483,1/10/2026,9,280750
SKU0060,WH4,1299,86,276,3/14/2026,26,20885
SKU0088,WH5,491,114,472,8/27/2025,23,96214
SKU0445,WH4,744,189,349,6/15/2025,25,104414
SKU0461,WH2,1400,91,471,8/22/2025,7,63499
SKU0043,WH1,652,158,406,3/23/2025,21,19888
SKU0167,WH2,890,292,180,11/30/2024,13,31325
SKU0117,WH5,1244,129,304,12/16/2025,2,184518
SKU0475,WH4,1446,172,114,12/12/2025,5,58463
SKU0257,WH7,20,275,141,8/22/2025,8,68028
SKU0265,WH6,828,137,435,9/7/2023,3,193294
SKU0232,WH3,530,90,281,9/1/2023,25,235776
SKU0213,WH2,1368,201,164,12/2/2024,29,56876
SKU0074,WH2,801,86,371,9/7/2025,12,69526
SKU0393,WH4,1447,299,199,9/1/2024,10,19066
SKU0387,WH3,1283,92,269,3/24/2024,2,138165
SKU0157,WH5,652,245,164,3/28/2024,13,251039
SKU0342,WH4,61,292,214,8/20/2023,9,131848
SKU0230,WH1,1079,170,399,11/15/2025,14,108244
SKU0042,WH1,1137,185,100,2/2/2026,27,212265
SKU0361,WH5,706,172,149,10/25/2024,20,94380
SKU0299,WH5,138,129,478,4/18/2025,21,246420
SKU0094,WH1,676,290,288,4/4/2024,7,283141
SKU0245,WH8,1086,284,456,6/22/2025,22,237133
SKU0152,WH8,1135,172,313,3/3/2025,5,69116
SKU0003,WH7,147,58,319,4/5/2024,23,279507
SKU0264,WH6,1377,282,341,4/20/2026,24,60922
SKU0045,WH6,1084,137,262,2/4/2026,26,41517
SKU0154,WH3,647,88,373,2/5/2025,12,261430
SKU0367,WH5,1485,178,282,1/25/2026,13,142136
SKU0227,WH1,681,180,143,6/24/2025,10,142379
SKU0487,WH3,571,186,110,8/9/2025,3,238279
SKU0254,WH8,1285,225,394,11/4/2025,26,39750
SKU0435,WH8,1159,159,392,12/28/2025,13,289522
SKU0223,WH6,310,102,450,10/23/2023,17,222111
SKU0055,WH3,77,224,140,2/23/2025,17,286155
SKU0289,WH5,1016,277,154,11/2/2023,5,81120
SKU0379,WH2,887,224,195,5/12/2026,19,108410
SKU0361,WH3,149,240,467,10/19/2025,9,122480
SKU0419,WH5,1433,299,260,4/14/2024,5,127122
SKU0336,WH3,1290,60,405,4/27/2026,14,185525
SKU0011,WH8,1087,226,243,6/4/2024,19,10239
SKU0177,WH7,525,90,433,8/12/2025,4,159634
SKU0079,WH7,145,232,227,7/18/2025,26,161224
SKU0281,WH4,1333,158,114,12/9/2025,28,238256
SKU0462,WH7,906,52,308,12/14/2024,7,205630
SKU0201,WH3,673,275,155,5/28/2024,27,73200
SKU0394,WH2,1233,148,177,4/27/2025,11,117880
SKU0471,WH6,395,129,187,5/2/2024,6,74685
SKU0173,WH3,450,63,110,2/19/2025,16,34325
SKU0134,WH2,821,149,192,7/8/2025,13,283155
SKU0156,WH1,1300,116,423,1/14/2025,8,172667
SKU0269,WH7,722,161,451,12/5/2025,17,128100
SKU0237,WH2,417,291,131,10/18/2023,3,270887
SKU0077,WH3,1485,173,422,9/25/2025,12,199313
SKU0320,WH7,729,183,489,10/27/2024,26,184282
SKU0366,WH1,1232,65,244,3/23/2025,11,52944
SKU0114,WH6,659,229,223,4/17/2026,16,23930
SKU0414,WH6,1231,153,147,2/3/2026,26,39322
SKU0119,WH7,183,209,291,1/24/2024,27,14352
SKU0133,WH1,1370,83,488,12/25/2023,27,96994
SKU0071,WH1,1426,145,301,2/4/2026,25,219919
SKU0374,WH1,1410,146,224,6/6/2024,19,199902
SKU0055,WH3,287,254,446,4/30/2025,7,234814
SKU0218,WH5,120,269,391,11/23/2023,21,38704
SKU0471,WH2,908,195,195,11/30/2023,20,81086
SKU0436,WH5,1100,102,142,9/29/2023,29,292635
SKU0028,WH8,409,214,197,10/22/2024,4,36128
SKU0024,WH5,674,265,340,1/9/2026,26,68247
SKU0256,WH2,1322,50,434,11/8/2024,5,129159
SKU0225,WH4,589,289,428,11/24/2023,9,171442
SKU0461,WH2,930,206,229,8/14/2024,2,145795
SKU0177,WH4,393,140,202,12/9/2024,11,209113
SKU0482,WH2,1494,191,425,12/17/2025,13,67024
SKU0205,WH6,776,201,312,4/9/2024,21,179754
SKU0095,WH5,1397,128,479,5/25/2025,25,199914
SKU0376,WH5,1017,251,459,12/6/2025,9,56197
SKU0349,WH6,650,201,121,11/17/2023,17,47980
SKU0479,WH8,695,65,107,7/14/2024,27,165227
SKU0432,WH2,758,144,119,11/20/2023,22,64096
SKU0415,WH1,719,206,137,5/6/2026,8,219596
SKU0408,WH4,362,186,492,8/1/2023,26,67332
SKU0366,WH1,1139,213,246,11/15/2024,20,214834
SKU0478,WH7,1364,124,174,12/28/2025,4,191070
SKU0199,WH8,1355,68,476,5/10/2025,12,178378
SKU0276,WH4,825,193,289,9/3/2025,9,295975
SKU0002,WH6,513,58,217,5/13/2025,21,72449
SKU0466,WH5,1415,93,447,9/1/2025,4,177285
SKU0460,WH4,368,230,212,5/16/2024,12,255080
SKU0058,WH5,1381,268,263,2/18/2024,27,222414
SKU0310,WH2,81,147,120,8/7/2023,26,144916
SKU0469,WH6,837,124,170,2/3/2025,13,134362
SKU0255,WH8,606,260,471,11/23/2024,11,214671
SKU0039,WH8,955,249,444,1/16/2026,11,269240
SKU0019,WH2,643,220,397,7/28/2023,15,238943
SKU0070,WH8,972,172,327,4/11/2026,13,213485
SKU0329,WH3,1175,161,156,10/4/2023,11,263987
SKU0116,WH7,1007,296,184,1/21/2025,9,25405
SKU0132,WH3,393,261,457,11/29/2024,14,110298
SKU0276,WH7,165,90,332,3/15/2025,23,142630
SKU0131,WH2,1452,60,176,8/2/2023,21,55967
SKU0073,WH3,1291,190,189,8/2/2025,16,293678
SKU0091,WH8,130,258,186,3/7/2026,18,148420
SKU0062,WH6,465,220,240,4/19/2026,15,148619
SKU0197,WH2,1142,92,263,1/17/2024,9,205113
SKU0452,WH1,821,264,320,2/19/2026,21,270069
SKU0147,WH5,1469,103,492,1/15/2024,3,221500
SKU0101,WH2,349,227,183,4/21/2026,7,100899
SKU0272,WH3,1368,189,171,11/18/2025,15,257671
SKU0406,WH7,128,122,354,4/14/2024,27,46603
SKU0208,WH6,709,268,125,7/22/2023,2,285489
SKU0149,WH8,174,138,137,12/7/2024,24,289395
SKU0440,WH7,100,264,190,11/23/2023,26,273607
SKU0444,WH3,545,104,281,1/23/2026,7,267883
SKU0290,WH7,951,165,186,8/20/2023,6,6903
SKU0197,WH7,269,88,497,12/20/2025,29,134566
SKU0464,WH3,808,186,343,11/6/2023,4,158059
SKU0066,WH1,5,283,161,2/11/2024,27,190283
SKU0269,WH6,872,266,299,9/23/2023,8,23209
SKU0480,WH1,1316,266,289,12/28/2024,28,12562
SKU0371,WH7,133,59,290,1/21/2025,3,97315
SKU0078,WH7,222,173,237,4/14/2026,18,106669
SKU0149,WH8,1227,192,242,7/20/2024,28,248041
SKU0444,WH8,640,214,285,5/6/2025,17,153878
SKU0196,WH6,34,157,322,2/11/2024,3,37700
SKU0106,WH1,598,228,389,2/2/2026,21,72463
SKU0458,WH8,570,52,250,8/6/2024,13,41072
SKU0430,WH2,1234,201,312,5/29/2025,21,70380
SKU0272,WH5,760,137,301,4/14/2024,17,176200
SKU0183,WH1,1285,299,377,4/4/2025,19,71697
SKU0139,WH7,257,58,269,1/28/2025,17,82840
SKU0033,WH8,1046,291,256,3/26/2024,21,231637
SKU0086,WH3,374,82,244,8/22/2025,6,149640
SKU0117,WH3,182,63,477,1/6/2026,25,91026
SKU0434,WH1,1196,52,122,3/27/2024,22,187952
SKU0180,WH6,881,105,356,8/27/2025,18,37489
SKU0075,WH5,987,247,397,5/17/2026,12,58506
SKU0220,WH5,277,129,165,5/27/2024,15,191640
SKU0062,WH6,163,212,372,5/1/2024,11,207047
SKU0482,WH5,513,194,197,11/18/2023,24,198184
SKU0169,WH6,912,246,368,9/24/2024,25,210343
SKU0267,WH3,942,239,490,12/24/2025,15,142112
SKU0122,WH2,522,263,125,3/8/2025,13,280802
SKU0007,WH8,149,193,447,7/12/2024,5,171062
SKU0335,WH7,372,168,170,10/11/2024,2,189746
SKU0212,WH4,8,62,226,11/16/2024,27,297176
SKU0400,WH1,1025,156,478,1/22/2024,27,35846
SKU0285,WH8,581,61,300,6/6/2025,5,200309
SKU0261,WH1,868,123,316,11/5/2023,27,199104
SKU0213,WH4,428,59,417,2/7/2024,5,184025
SKU0320,WH8,1034,101,140,3/5/2025,17,179666
SKU0399,WH8,681,161,458,4/9/2026,6,142256
SKU0390,WH8,308,299,107,9/2/2023,17,281391
SKU0305,WH8,213,255,418,12/18/2025,9,230770
SKU0215,WH8,164,146,362,11/25/2025,21,120425
SKU0364,WH4,1048,216,425,11/17/2024,18,175338
SKU0435,WH8,453,154,109,8/9/2025,18,108559
SKU0298,WH3,840,158,254,11/30/2024,21,291750
SKU0109,WH3,1346,218,439,1/10/2025,17,36595
SKU0349,WH1,1142,205,358,6/23/2025,11,42628
SKU0321,WH7,1079,263,344,8/10/2023,12,162454
SKU0261,WH6,1305,259,323,12/3/2025,24,274660
SKU0457,WH8,1218,256,450,8/26/2023,28,291711
SKU0207,WH7,796,194,376,5/14/2025,22,129062
SKU0113,WH2,412,51,439,11/5/2025,8,262926
SKU0481,WH6,1362,250,390,1/28/2024,27,287879
SKU0024,WH1,679,126,407,1/3/2024,6,42592
SKU0293,WH1,958,134,314,5/4/2024,10,244308
SKU0309,WH1,164,127,287,11/15/2023,10,54481
SKU0006,WH8,1349,154,127,6/21/2024,13,27034
SKU0423,WH3,1024,64,177,10/20/2024,20,205880
SKU0203,WH1,1481,243,467,9/15/2025,25,229258
SKU0089,WH7,620,268,299,7/13/2025,27,9575
SKU0190,WH8,617,83,413,12/4/2023,22,56422
SKU0210,WH2,422,262,468,12/6/2024,22,274897
SKU0214,WH7,1300,214,232,6/1/2025,8,196976
SKU0060,WH8,1435,225,282,10/22/2025,14,225972
SKU0297,WH2,830,190,424,8/1/2023,2,84777
SKU0462,WH2,1204,219,314,2/1/2024,18,246756
SKU0010,WH1,864,56,287,3/25/2025,28,10275
SKU0081,WH4,702,84,245,8/21/2024,9,77629
SKU0093,WH1,559,265,390,4/11/2025,19,169639
SKU0326,WH7,300,110,344,3/9/2025,22,241365
SKU0135,WH4,162,164,192,7/1/2024,26,54183
SKU0261,WH1,1027,232,179,8/25/2024,2,251260
SKU0027,WH2,1371,288,375,4/14/2025,21,130491
SKU0163,WH7,237,242,314,8/1/2024,22,170111
SKU0439,WH4,419,283,296,11/20/2023,16,239423
SKU0273,WH7,626,134,419,7/8/2025,14,133356
SKU0007,WH8,1035,154,469,9/5/2024,11,262938
SKU0189,WH2,1221,133,256,12/31/2023,7,225693
SKU0321,WH1,1242,196,356,9/11/2025,25,136186
SKU0271,WH7,651,198,292,1/30/2026,23,138719
SKU0486,WH3,453,298,398,11/26/2024,29,106800
SKU0186,WH4,87,238,452,2/17/2025,26,287170
SKU0305,WH7,80,67,469,8/6/2025,4,100159
SKU0459,WH1,1186,280,195,7/12/2025,27,81650
SKU0052,WH7,486,266,203,12/21/2025,14,107481
SKU0282,WH2,840,69,373,4/1/2024,17,9519
SKU0299,WH5,15,150,363,7/20/2024,6,118268
SKU0309,WH6,956,111,124,4/1/2024,10,126804
SKU0113,WH3,1489,80,432,4/8/2024,25,190541
SKU0235,WH5,1310,70,211,11/5/2024,24,60672
SKU0184,WH7,1453,97,249,6/15/2024,20,242327
SKU0078,WH8,809,129,419,12/22/2023,16,212633
SKU0123,WH6,1395,56,290,12/4/2023,10,47409
SKU0077,WH7,1209,90,353,6/24/2025,26,138757
SKU0324,WH5,339,153,129,11/25/2024,16,298456
SKU0368,WH3,113,156,295,11/27/2024,15,72585
SKU0229,WH2,54,81,391,3/24/2025,20,71001
SKU0161,WH5,1009,56,158,1/6/2026,26,56319
SKU0270,WH5,528,89,381,10/31/2025,18,36286
SKU0205,WH1,1023,125,156,3/29/2026,2,125593
SKU0401,WH3,1069,229,177,5/5/2026,28,267504
SKU0111,WH8,161,166,242,11/6/2024,2,19362
SKU0295,WH6,293,275,491,7/14/2024,20,179313
SKU0048,WH7,445,166,134,2/7/2024,14,153229
SKU0134,WH4,255,107,303,12/18/2025,25,219880
SKU0406,WH5,697,259,231,5/27/2025,23,149101
SKU0087,WH1,1489,254,175,12/1/2024,24,277316
SKU0293,WH3,137,50,387,11/16/2023,7,114145
SKU0100,WH6,1089,233,483,11/6/2023,17,44306
SKU0233,WH6,1246,83,396,4/9/2024,18,265614
SKU0249,WH4,675,242,196,10/31/2024,13,129373
SKU0043,WH4,359,266,109,4/14/2024,6,264837
SKU0045,WH5,1130,103,444,7/26/2023,17,119981
SKU0483,WH2,843,58,142,3/5/2025,12,56383
SKU0122,WH3,1317,237,398,4/19/2024,8,169625
SKU0224,WH8,1117,70,331,8/5/2024,15,64554
SKU0449,WH8,1233,248,419,3/16/2024,25,169140
SKU0132,WH1,332,295,494,3/7/2025,22,179463
SKU0495,WH8,578,132,413,3/5/2025,9,6180
SKU0452,WH3,643,144,148,11/22/2024,22,5324
SKU0481,WH1,267,210,178,12/29/2023,2,191199
SKU0491,WH8,1390,205,227,8/23/2023,28,45189
SKU0057,WH5,394,227,369,10/10/2023,29,273831
SKU0162,WH3,394,167,110,3/18/2024,28,105957
SKU0286,WH5,952,70,430,3/13/2024,22,298636
SKU0167,WH2,1194,232,371,3/16/2024,2,66611
SKU0207,WH8,916,87,397,10/8/2023,5,154089
SKU0352,WH8,1046,180,485,2/8/2026,25,270777
SKU0090,WH1,316,298,446,12/4/2023,7,260209
SKU0423,WH2,942,285,278,9/5/2023,19,21209
SKU0328,WH1,592,262,139,3/4/2026,15,141675
SKU0474,WH8,576,188,195,1/17/2025,29,32897
SKU0273,WH6,902,152,373,1/17/2025,20,246596
SKU0094,WH2,397,159,336,5/10/2026,18,37454
SKU0125,WH3,192,102,285,4/12/2026,7,189555
SKU0099,WH6,305,268,345,12/29/2024,27,148477
SKU0268,WH1,456,84,177,2/7/2025,17,272256
SKU0262,WH7,797,134,365,2/27/2025,27,169390
SKU0413,WH5,761,208,228,1/1/2026,16,52886
SKU0398,WH1,692,296,416,8/31/2024,16,87757
SKU0257,WH7,213,57,242,4/20/2024,7,19852
SKU0475,WH4,445,209,378,2/4/2025,20,209207
SKU0423,WH7,268,72,153,11/19/2023,16,146387
SKU0262,WH1,591,150,445,6/20/2025,18,158323
SKU0481,WH1,555,52,423,11/1/2025,3,171869
