Supplier_ID,SKU_ID
SUP001,SKU0189
SUP029,SKU0190
SUP005,SKU0191
SUP002,SKU0192
SUP046,SKU0193
SUP027,SKU0194
SUP050,SKU0195
SUP007,SKU0196
SUP046,SKU0197
SUP042,SKU0198
SUP006,SKU0199
SUP026,SKU0200
SUP044,SKU0201
SUP022,SKU0202
SUP009,SKU0203
SUP028,SKU0204
SUP040,SKU0205
SUP002,SKU0206
SUP020,SKU0207
SUP019,SKU0208
SUP004,SKU0209
SUP010,SKU0210
SUP013,SKU0211
SUP016,SKU0212
SUP046,SKU0213
SUP027,SKU0214
SUP045,SKU0215
SUP033,SKU0216
SUP016,SKU0217
SUP021,SKU0218
SUP034,SKU0219
SUP025,SKU0220
SUP014,SKU0221
SUP019,SKU0222
SUP018,SKU0223
SUP005,SKU0224
SUP019,SKU0225
SUP014,SKU0226
SUP035,SKU0227
SUP023,SKU0228
SUP014,SKU0229
SUP050,SKU0230
SUP011,SKU0231
SUP031,SKU0232
SUP036,SKU0233
SUP048,SKU0234
SUP012,SKU0235
SUP003,SKU0236
SUP018,SKU0237
SUP006,SKU0238
SUP014,SKU0239
SUP002,SKU0240
SUP040,SKU0241
SUP018,SKU0242
SUP039,SKU0243
SUP050,SKU0244
SUP007,SKU0245
SUP018,SKU0246
SUP017,SKU0247
SUP032,SKU0248
SUP008,SKU0249
SUP014,SKU0250
SUP030,SKU0251
SUP011,SKU0252
SUP038,SKU0253
SUP049,SKU0254
SUP025,SKU0255
SUP022,SKU0256
SUP040,SKU0257
SUP028,SKU0258
SUP044,SKU0259
SUP024,SKU0260
SUP003,SKU0261
SUP010,SKU0262
SUP039,SKU0263
SUP046,SKU0264
SUP008,SKU0265
SUP007,SKU0266
SUP043,SKU0267
SUP003,SKU0268
SUP009,SKU0269
SUP038,SKU0270
SUP037,SKU0271
SUP022,SKU0272
SUP049,SKU0273
SUP046,SKU0274
SUP040,SKU0275
SUP006,SKU0276
SUP050,SKU0277
SUP026,SKU0278
SUP022,SKU0279
SUP007,SKU0280
SUP030,SKU0281
SUP038,SKU0282
SUP020,SKU0283
SUP031,SKU0284
SUP002,SKU0285
SUP038,SKU0286
SUP039,SKU0287
SUP021,SKU0288
SUP044,SKU0289
SUP021,SKU0290
SUP049,SKU0291
SUP026,SKU0292
SUP046,SKU0293
SUP025,SKU0294
SUP036,SKU0295
SUP033,SKU0296
SUP045,SKU0297
SUP048,SKU0298
SUP044,SKU0299
SUP017,SKU0300
SUP027,SKU0301
SUP032,SKU0302
SUP014,SKU0303
SUP019,SKU0304
SUP043,SKU0305
SUP025,SKU0306
SUP028,SKU0307
SUP046,SKU0308
SUP041,SKU0309
SUP008,SKU0310
SUP038,SKU0311
SUP020,SKU0312
SUP037,SKU0313
SUP020,SKU0314
SUP011,SKU0315
SUP038,SKU0316
SUP029,SKU0317
SUP045,SKU0318
SUP033,SKU0319
SUP003,SKU0320
SUP039,SKU0321
SUP018,SKU0322
SUP017,SKU0323
SUP002,SKU0324
SUP024,SKU0325
SUP034,SKU0326
SUP019,SKU0327
SUP039,SKU0328
SUP006,SKU0329
SUP031,SKU0330
SUP003,SKU0331
SUP009,SKU0332
SUP030,SKU0333
SUP029,SKU0334
SUP003,SKU0335
SUP001,SKU0336
SUP043,SKU0337
SUP034,SKU0338
SUP014,SKU0339
SUP016,SKU0340
SUP034,SKU0341
SUP003,SKU0342
SUP049,SKU0343
SUP039,SKU0344
SUP009,SKU0345
SUP040,SKU0346
SUP033,SKU0347
SUP012,SKU0348
SUP035,SKU0349
SUP028,SKU0350
SUP014,SKU0351
SUP044,SKU0352
SUP045,SKU0353
SUP009,SKU0354
SUP044,SKU0355
SUP047,SKU0356
SUP011,SKU0357
SUP019,SKU0358
SUP013,SKU0359
SUP036,SKU0360
SUP003,SKU0361
SUP025,SKU0362
SUP029,SKU0363
SUP001,SKU0364
SUP043,SKU0365
SUP029,SKU0366
SUP019,SKU0367
SUP048,SKU0368
SUP009,SKU0369
SUP017,SKU0370
SUP049,SKU0371
SUP046,SKU0372
SUP016,SKU0373
SUP011,SKU0374
SUP029,SKU0375
SUP016,SKU0376
SUP034,SKU0377
SUP038,SKU0378
SUP020,SKU0379
SUP018,SKU0380
SUP003,SKU0381
SUP045,SKU0382
SUP017,SKU0383
SUP033,SKU0384
SUP048,SKU0385
SUP030,SKU0386
SUP027,SKU0387
SUP008,SKU0388
SUP014,SKU0389
SUP048,SKU0390
SUP007,SKU0391
SUP045,SKU0392
SUP015,SKU0393
SUP028,SKU0394
SUP040,SKU0395
SUP008,SKU0396
SUP041,SKU0397
SUP004,SKU0398
SUP048,SKU0399
SUP029,SKU0400
SUP008,SKU0401
SUP011,SKU0402
SUP023,SKU0403
SUP008,SKU0404
SUP017,SKU0405
SUP047,SKU0406
SUP037,SKU0407
SUP003,SKU0408
SUP039,SKU0409
SUP001,SKU0410
SUP030,SKU0411
SUP030,SKU0412
SUP020,SKU0413
SUP038,SKU0414
SUP040,SKU0415
SUP010,SKU0416
SUP038,SKU0417
SUP002,SKU0418
SUP006,SKU0419
SUP029,SKU0420
SUP012,SKU0421
SUP033,SKU0422
SUP038,SKU0423
SUP015,SKU0424
SUP031,SKU0425
SUP008,SKU0426
SUP040,SKU0427
SUP049,SKU0428
SUP040,SKU0429
SUP043,SKU0430
SUP038,SKU0431
SUP002,SKU0432
SUP044,SKU0433
SUP014,SKU0434
SUP038,SKU0435
SUP016,SKU0436
SUP025,SKU0437
SUP036,SKU0438
SUP039,SKU0439
SUP020,SKU0440
SUP032,SKU0441
SUP019,SKU0442
SUP043,SKU0443
SUP005,SKU0444
SUP028,SKU0445
SUP042,SKU0446
SUP028,SKU0447
SUP027,SKU0448
SUP028,SKU0449
SUP001,SKU0450
SUP050,SKU0451
SUP026,SKU0452
SUP001,SKU0453
SUP010,SKU0454
SUP049,SKU0455
SUP007,SKU0456
SUP010,SKU0457
SUP042,SKU0458
SUP007,SKU0459
SUP021,SKU0460
SUP041,SKU0461
SUP018,SKU0462
SUP026,SKU0463
SUP023,SKU0464
SUP045,SKU0465
SUP044,SKU0466
SUP020,SKU0467
SUP005,SKU0468
SUP020,SKU0469
SUP033,SKU0470
SUP037,SKU0471
SUP025,SKU0472
SUP045,SKU0473
SUP035,SKU0474
SUP016,SKU0475
SUP045,SKU0476
SUP038,SKU0477
SUP037,SKU0478
SUP013,SKU0479
SUP004,SKU0480
SUP005,SKU0481
SUP028,SKU0482
SUP028,SKU0483
SUP048,SKU0484
SUP041,SKU0485
SUP010,SKU0486
SUP012,SKU0487
SUP002,SKU0488
SUP032,SKU0489
SUP028,SKU0490
SUP031,SKU0491
SUP008,SKU0492
SUP023,SKU0493
SUP016,SKU0494
SUP033,SKU0495
SUP002,SKU0496
SUP016,SKU0497
SUP020,SKU0498
SUP022,SKU0499
SUP039,SKU0500
SUP020,SKU0172
SUP025,SKU0100
SUP011,SKU0389
SUP022,SKU0387
SUP027,SKU0013
SUP036,SKU0409
SUP038,SKU0314
SUP025,SKU0169
SUP012,SKU0147
SUP007,SKU0448
SUP005,SKU0182
SUP011,SKU0222
SUP036,SKU0167
SUP042,SKU0353
SUP036,SKU0483
SUP021,SKU0111
SUP016,SKU0272
SUP043,SKU0264
SUP026,SKU0295
SUP049,SKU0181
SUP003,SKU0166
SUP016,SKU0346
SUP038,SKU0321
SUP005,SKU0419
SUP021,SKU0255
SUP042,SKU0468
SUP018,SKU0414
SUP018,SKU0021
SUP024,SKU0389
SUP020,SKU0210
SUP043,SKU0291
SUP024,SKU0191
SUP034,SKU0361
SUP014,SKU0007
SUP022,SKU0299
SUP030,SKU0027
SUP025,SKU0292
SUP041,SKU0058
SUP029,SKU0160
SUP002,SKU0144
SUP014,SKU0058
SUP037,SKU0200
SUP043,SKU0475
SUP038,SKU0131
SUP024,SKU0484
SUP027,SKU0333
SUP032,SKU0231
SUP032,SKU0366
SUP013,SKU0327
SUP017,SKU0475
