SKU_ID,Warehouse_ID,Forecast_Qty,Actual_Demand,Month
SKU0434,WH3,253,218,Apr
SKU0192,WH8,430,409,Jun
SKU0203,WH5,359,254,Mar
SKU0138,WH4,194,179,Feb
SKU0295,WH8,107,310,Apr
SKU0479,WH4,83,331,Apr
SKU0276,WH7,210,79,Mar
SKU0125,WH7,71,74,Jan
SKU0260,WH5,144,365,May
SKU0174,WH6,263,102,Apr
SKU0460,WH8,224,292,Apr
SKU0155,WH3,303,137,Mar
SKU0433,WH6,309,207,Jun
SKU0006,WH7,341,100,Jun
SKU0437,WH5,88,115,Jun
SKU0496,WH3,473,291,Apr
SKU0499,WH8,431,364,Jun
SKU0292,WH2,118,225,May
SKU0485,WH5,191,349,Jun
SKU0119,WH7,450,354,Apr
SKU0022,WH3,231,464,Apr
SKU0247,WH4,429,183,Feb
SKU0217,WH2,252,78,May
SKU0374,WH1,146,437,May
SKU0445,WH4,398,63,Feb
SKU0288,WH8,116,321,Feb
SKU0436,WH3,375,455,Jan
SKU0077,WH4,124,318,Jun
SKU0052,WH5,401,50,Mar
SKU0461,WH7,464,230,Jun
SKU0309,WH6,83,456,May
SKU0366,WH2,121,242,May
SKU0414,WH1,55,466,Feb
SKU0157,WH1,321,93,Apr
SKU0353,WH5,436,70,Jan
SKU0316,WH2,217,201,Jun
SKU0031,WH3,227,204,May
SKU0415,WH2,238,273,Jun
SKU0158,WH7,206,132,Feb
SKU0078,WH3,336,197,Jun
SKU0151,WH4,217,485,Jan
SKU0484,WH7,154,487,May
SKU0481,WH7,375,314,Apr
SKU0028,WH1,348,496,Mar
SKU0249,WH4,269,334,Mar
SKU0168,WH2,137,387,Jun
SKU0288,WH7,319,128,Apr
SKU0237,WH5,80,475,Jun
SKU0489,WH6,75,364,Mar
SKU0346,WH1,432,83,May
SKU0196,WH2,329,336,Mar
SKU0279,WH3,114,289,Mar
SKU0142,WH7,187,385,Jun
SKU0097,WH6,363,383,Jun
SKU0453,WH4,412,150,Feb
SKU0202,WH7,431,417,May
SKU0122,WH2,291,417,May
SKU0329,WH6,112,484,Apr
SKU0264,WH2,441,426,Mar
SKU0205,WH5,485,151,Jan
SKU0185,WH8,324,74,May
SKU0461,WH6,381,456,Jun
SKU0176,WH7,474,435,May
SKU0002,WH7,278,427,Jan
SKU0470,WH7,479,449,May
SKU0290,WH8,163,444,Apr
SKU0054,WH7,60,64,Jun
SKU0308,WH6,222,77,Mar
SKU0229,WH7,427,416,Apr
SKU0485,WH2,147,188,Mar
SKU0140,WH8,358,130,Apr
SKU0055,WH8,322,89,Apr
SKU0069,WH8,205,145,Mar
SKU0362,WH3,191,229,Feb
SKU0046,WH2,329,456,May
SKU0161,WH3,93,197,May
SKU0086,WH7,390,333,Jun
SKU0284,WH7,87,433,Mar
SKU0121,WH5,72,152,Jan
SKU0011,WH1,120,440,Feb
SKU0183,WH2,481,333,May
SKU0165,WH5,488,260,May
SKU0279,WH8,268,414,May
SKU0356,WH1,298,286,May
SKU0459,WH3,394,396,Feb
SKU0295,WH4,167,404,Apr
SKU0215,WH4,337,446,Mar
SKU0077,WH4,374,207,Apr
SKU0471,WH4,57,432,Mar
SKU0057,WH5,454,245,Jan
SKU0334,WH4,461,275,Apr
SKU0225,WH4,213,168,Feb
SKU0372,WH3,398,360,Jun
SKU0273,WH2,225,338,Jan
SKU0015,WH3,174,420,Jan
SKU0377,WH5,458,90,May
SKU0381,WH1,209,93,May
SKU0071,WH2,262,130,May
SKU0294,WH1,330,168,Mar
SKU0241,WH3,373,154,May
SKU0350,WH4,261,185,Apr
SKU0369,WH3,386,353,Jan
SKU0412,WH1,417,98,Apr
SKU0470,WH8,475,358,Mar
SKU0323,WH3,413,308,Mar
SKU0065,WH3,499,467,May
SKU0259,WH5,66,201,Jan
SKU0228,WH2,276,321,Mar
SKU0352,WH2,318,302,Feb
SKU0078,WH1,477,278,Jan
SKU0355,WH3,126,232,Mar
SKU0150,WH2,497,441,Jun
SKU0150,WH8,339,404,Mar
SKU0348,WH4,100,491,Apr
SKU0005,WH4,404,498,Jun
SKU0341,WH2,361,59,May
SKU0453,WH6,64,425,Jun
SKU0433,WH2,292,452,Feb
SKU0389,WH7,489,121,Jun
SKU0087,WH1,54,74,Apr
SKU0323,WH3,488,374,May
SKU0131,WH2,315,125,Jan
SKU0009,WH7,134,161,Feb
SKU0393,WH3,107,358,Mar
SKU0154,WH4,457,411,Feb
SKU0395,WH5,326,305,Jun
SKU0314,WH6,339,131,Jan
SKU0169,WH6,400,238,Mar
SKU0160,WH4,90,313,Feb
SKU0147,WH5,129,261,Apr
SKU0221,WH5,460,65,Feb
SKU0086,WH2,263,115,Mar
SKU0439,WH4,240,243,Apr
SKU0071,WH5,497,201,Apr
SKU0349,WH8,373,73,Apr
SKU0014,WH8,102,110,Jan
SKU0017,WH6,108,287,Feb
SKU0231,WH7,206,287,Jan
SKU0140,WH3,315,475,May
SKU0441,WH6,239,251,Apr
SKU0219,WH8,142,92,Jun
SKU0137,WH3,281,477,Jun
SKU0497,WH7,164,123,Mar
SKU0141,WH6,228,73,Apr
SKU0451,WH4,296,352,Mar
SKU0464,WH6,206,363,Jun
SKU0374,WH4,301,152,May
SKU0161,WH3,461,92,Feb
SKU0197,WH8,114,421,May
SKU0343,WH3,490,296,Mar
SKU0167,WH4,490,60,Jan
SKU0163,WH4,243,383,Apr
SKU0271,WH4,437,494,Jun
SKU0293,WH3,186,284,Mar
SKU0272,WH1,437,270,Jan
SKU0304,WH1,433,56,May
SKU0133,WH1,217,317,Mar
SKU0232,WH5,78,472,May
SKU0016,WH7,142,62,Apr
SKU0177,WH5,465,171,Apr
SKU0004,WH6,94,99,Jun
SKU0137,WH4,148,495,Jan
SKU0123,WH4,325,204,Jun
SKU0141,WH5,431,264,Jun
SKU0471,WH4,78,204,Jan
SKU0068,WH5,258,58,Apr
SKU0115,WH8,270,112,Feb
SKU0472,WH3,453,245,Apr
SKU0047,WH4,209,57,Mar
SKU0306,WH8,135,279,Jun
SKU0093,WH1,283,93,May
SKU0095,WH6,462,327,Apr
SKU0127,WH5,284,286,Jun
SKU0459,WH3,220,426,Mar
SKU0130,WH5,392,260,Mar
SKU0095,WH3,55,179,Mar
SKU0180,WH3,293,349,May
SKU0333,WH2,192,320,Mar
SKU0223,WH7,273,214,Jun
SKU0280,WH2,385,87,May
SKU0139,WH5,185,475,Jan
SKU0175,WH3,200,326,Jan
SKU0460,WH4,320,69,Jun
SKU0206,WH2,82,410,Apr
SKU0448,WH6,252,121,Jun
SKU0444,WH5,430,348,May
SKU0088,WH3,490,105,Jan
SKU0042,WH4,298,378,Mar
SKU0419,WH7,138,467,Jan
SKU0124,WH3,473,442,Feb
SKU0199,WH5,314,205,Mar
SKU0338,WH2,338,87,May
SKU0091,WH2,126,408,Feb
SKU0446,WH2,163,437,Jan
SKU0218,WH5,202,132,May
SKU0143,WH6,357,105,Jan
SKU0291,WH7,395,93,Mar
SKU0083,WH5,332,397,Jan
SKU0184,WH8,358,356,Jun
SKU0315,WH4,226,259,Jan
SKU0454,WH2,111,373,May
SKU0491,WH7,380,360,Apr
SKU0038,WH6,147,356,Mar
SKU0254,WH8,147,277,Jan
SKU0362,WH2,278,377,May
SKU0092,WH2,342,383,Mar
SKU0239,WH8,58,242,Apr
SKU0260,WH1,230,371,Feb
SKU0180,WH8,305,59,Mar
SKU0292,WH7,361,190,Jun
SKU0169,WH3,425,248,Feb
SKU0079,WH7,260,152,Feb
SKU0197,WH6,468,134,Jun
SKU0128,WH1,294,402,Jun
SKU0393,WH3,242,64,Mar
SKU0216,WH5,96,98,Jun
SKU0437,WH1,137,391,May
SKU0374,WH3,430,233,Apr
SKU0138,WH8,342,361,Feb
SKU0116,WH1,380,418,May
SKU0098,WH6,84,397,Jun
SKU0422,WH2,210,133,Jan
SKU0330,WH4,346,403,Apr
SKU0030,WH5,474,250,Jun
SKU0431,WH4,294,138,Mar
SKU0049,WH6,227,349,Mar
SKU0176,WH2,345,324,Jun
SKU0209,WH6,444,222,Jun
SKU0245,WH6,498,292,Jan
SKU0370,WH4,346,184,Apr
SKU0066,WH2,166,493,Feb
SKU0046,WH7,360,91,Jan
SKU0061,WH7,116,339,Apr
SKU0118,WH1,343,114,Mar
SKU0089,WH6,303,96,Feb
SKU0288,WH5,384,52,Jun
SKU0415,WH3,106,467,Mar
SKU0388,WH5,482,95,Jun
SKU0240,WH2,302,173,Feb
SKU0134,WH4,417,255,Apr
SKU0305,WH5,307,452,Jan
SKU0230,WH2,379,362,Feb
SKU0094,WH8,358,60,Apr
SKU0495,WH2,422,76,Jan
SKU0250,WH1,57,118,Jun
SKU0353,WH3,300,474,Mar
SKU0418,WH8,112,489,May
SKU0457,WH5,182,411,Apr
SKU0132,WH7,124,448,Jan
SKU0088,WH5,253,58,Apr
SKU0463,WH8,381,183,Apr
SKU0372,WH7,368,176,May
SKU0033,WH6,207,388,May
SKU0212,WH5,370,151,May
SKU0335,WH5,433,333,May
SKU0104,WH3,247,340,Jun
SKU0116,WH8,197,357,Jun
SKU0404,WH4,443,496,Mar
SKU0463,WH1,411,57,May
SKU0181,WH2,82,462,May
SKU0180,WH5,159,306,Jan
SKU0271,WH3,271,219,Feb
SKU0454,WH8,181,196,Jan
SKU0416,WH3,193,182,Mar
SKU0185,WH5,80,108,Mar
SKU0464,WH3,315,106,May
SKU0499,WH7,492,216,May
SKU0257,WH6,431,52,Apr
SKU0144,WH7,370,121,Apr
SKU0184,WH7,473,346,Jan
SKU0036,WH3,432,259,Jan
SKU0073,WH6,474,304,Mar
SKU0437,WH2,176,134,Apr
SKU0209,WH7,198,87,Jun
SKU0166,WH4,205,406,Apr
SKU0351,WH1,442,203,May
SKU0172,WH5,70,83,Feb
SKU0056,WH7,496,264,Mar
SKU0232,WH2,369,198,Apr
SKU0010,WH4,312,210,Apr
SKU0380,WH7,98,69,Feb
SKU0489,WH4,196,455,May
SKU0376,WH4,52,175,Jan
SKU0379,WH2,135,393,Jan
SKU0328,WH8,315,150,May
SKU0241,WH7,260,52,Jun
SKU0027,WH5,200,499,May
SKU0222,WH5,117,108,Feb
SKU0210,WH2,444,463,Feb
SKU0405,WH5,260,403,May
SKU0136,WH7,100,100,Mar
SKU0062,WH5,453,52,Mar
SKU0145,WH7,197,324,Mar
SKU0443,WH8,104,318,Mar
SKU0042,WH8,72,121,Feb
SKU0247,WH8,395,330,Apr
SKU0252,WH1,286,455,Jun
SKU0016,WH3,441,389,May
SKU0231,WH6,437,76,Apr
SKU0221,WH6,191,372,Jan
SKU0154,WH8,242,226,Jan
SKU0142,WH2,68,190,Mar
SKU0161,WH4,76,220,Jun
SKU0231,WH5,450,433,Mar
SKU0406,WH2,204,370,Feb
SKU0132,WH2,91,114,Apr
SKU0217,WH3,449,295,Jan
SKU0352,WH8,137,430,Mar
SKU0159,WH1,382,419,Apr
SKU0222,WH6,266,268,Jun
SKU0061,WH5,355,99,Jun
SKU0340,WH6,275,455,Feb
SKU0482,WH1,439,106,Mar
SKU0452,WH7,147,74,Mar
SKU0228,WH8,430,347,Apr
SKU0393,WH6,235,199,Mar
SKU0039,WH5,447,187,Jun
SKU0416,WH4,381,197,Mar
SKU0283,WH5,214,170,Apr
SKU0389,WH5,381,60,Feb
SKU0247,WH3,199,382,Feb
SKU0352,WH5,455,339,May
SKU0028,WH7,223,490,Jan
SKU0428,WH3,491,485,Apr
SKU0340,WH6,430,332,Mar
SKU0054,WH3,365,359,Mar
SKU0046,WH2,312,267,Mar
SKU0433,WH2,241,194,Jan
SKU0484,WH6,272,158,Jan
SKU0342,WH1,165,482,Feb
SKU0036,WH7,273,70,Apr
SKU0166,WH8,420,65,Jun
SKU0346,WH2,452,357,Feb
SKU0197,WH1,460,202,Jan
SKU0468,WH8,142,202,Apr
SKU0068,WH5,213,207,Apr
SKU0148,WH5,66,173,Feb
SKU0409,WH2,190,488,May
SKU0112,WH5,79,91,May
SKU0287,WH3,379,481,Jan
SKU0169,WH1,352,87,May
SKU0075,WH6,434,479,May
SKU0076,WH4,472,193,Mar
SKU0202,WH3,110,269,May
SKU0177,WH6,391,396,Mar
SKU0315,WH8,247,372,May
SKU0440,WH1,335,401,Apr
SKU0148,WH5,436,448,May
SKU0123,WH8,70,432,Mar
SKU0292,WH1,487,429,Jun
SKU0369,WH7,427,182,May
SKU0409,WH8,268,352,May
SKU0379,WH4,462,283,Jun
SKU0348,WH7,479,419,Jan
SKU0225,WH4,352,388,Apr
SKU0125,WH5,252,69,Jan
SKU0287,WH6,190,68,Jan
SKU0137,WH4,151,480,May
SKU0380,WH6,133,125,Mar
SKU0245,WH6,115,72,Jun
SKU0273,WH8,269,104,Apr
SKU0012,WH1,195,360,Jun
SKU0227,WH4,272,106,Apr
SKU0415,WH2,197,241,Jun
SKU0275,WH1,478,400,Jan
SKU0449,WH8,319,124,May
SKU0047,WH2,294,277,May
SKU0204,WH2,419,263,Mar
SKU0156,WH6,249,218,Mar
SKU0172,WH4,395,480,Apr
SKU0236,WH4,430,63,Apr
SKU0123,WH2,349,320,Mar
SKU0269,WH3,326,439,Mar
SKU0387,WH2,328,255,May
SKU0335,WH4,423,166,Feb
SKU0070,WH1,260,296,Jun
SKU0091,WH7,459,238,Mar
SKU0313,WH1,52,81,May
SKU0123,WH8,115,94,Jun
SKU0259,WH8,162,84,Jun
SKU0328,WH2,248,311,Apr
SKU0370,WH4,62,439,Mar
SKU0201,WH7,172,279,Apr
SKU0357,WH8,319,86,Jan
SKU0057,WH8,251,161,Jun
SKU0407,WH7,142,311,Jan
SKU0121,WH2,133,450,Feb
SKU0434,WH5,439,306,Apr
SKU0338,WH4,70,384,Jun
SKU0211,WH3,251,175,May
SKU0400,WH3,120,84,Jan
SKU0296,WH7,436,361,May
SKU0124,WH7,363,196,May
SKU0124,WH3,445,468,Jan
SKU0375,WH1,352,490,May
SKU0071,WH6,260,459,May
SKU0331,WH3,412,230,Jun
SKU0128,WH3,268,356,Apr
SKU0488,WH5,66,470,May
SKU0197,WH4,325,488,Mar
SKU0384,WH1,105,169,Mar
SKU0495,WH3,188,235,May
SKU0141,WH2,136,237,Mar
SKU0416,WH6,140,164,Jan
SKU0362,WH1,152,370,Apr
SKU0083,WH2,335,486,May
SKU0321,WH2,398,493,Apr
SKU0121,WH2,86,75,Feb
SKU0456,WH8,243,89,Feb
SKU0017,WH7,434,339,Jan
SKU0069,WH3,176,471,Feb
SKU0314,WH2,324,90,Feb
SKU0396,WH3,359,170,Feb
SKU0233,WH5,74,446,Apr
SKU0040,WH2,246,56,Apr
SKU0411,WH7,459,434,Feb
SKU0325,WH8,344,146,Apr
SKU0338,WH8,458,403,Feb
SKU0307,WH2,404,384,May
SKU0046,WH3,56,426,Apr
SKU0390,WH3,499,435,Feb
SKU0361,WH6,487,376,Feb
SKU0059,WH4,156,356,Apr
SKU0125,WH7,193,223,Apr
SKU0327,WH4,338,459,May
SKU0103,WH2,96,472,Mar
SKU0174,WH7,237,458,Feb
SKU0338,WH3,261,315,Feb
SKU0354,WH2,196,123,Jan
SKU0279,WH7,234,123,Jan
SKU0411,WH7,211,87,Jan
SKU0259,WH7,246,269,Apr
SKU0393,WH4,264,143,Mar
SKU0115,WH7,480,340,Feb
SKU0228,WH8,297,357,Jan
SKU0098,WH8,334,460,Feb
SKU0474,WH7,181,121,Mar
SKU0108,WH7,294,485,Apr
SKU0418,WH5,327,378,Jun
SKU0424,WH6,256,296,Feb
SKU0271,WH5,77,123,Feb
SKU0318,WH1,91,109,Apr
SKU0161,WH8,480,70,Apr
SKU0452,WH2,227,138,Jun
SKU0414,WH7,399,353,Apr
SKU0016,WH6,285,272,May
SKU0326,WH3,254,499,Mar
SKU0027,WH5,318,233,Feb
SKU0140,WH7,61,491,Feb
SKU0222,WH2,201,68,May
SKU0224,WH3,204,79,May
SKU0169,WH5,484,130,Jan
SKU0127,WH4,297,462,May
SKU0111,WH4,415,437,Mar
SKU0024,WH2,347,378,Jan
SKU0412,WH5,459,68,May
SKU0226,WH1,350,179,Jun
SKU0362,WH6,486,195,Feb
SKU0042,WH1,232,243,Feb
SKU0378,WH1,63,332,May
SKU0086,WH7,151,276,Mar
SKU0081,WH6,341,101,Jan
SKU0398,WH4,227,64,Mar
SKU0243,WH4,123,357,Jan
SKU0239,WH8,369,369,Jan
SKU0079,WH8,276,352,Jun
SKU0064,WH5,191,127,May
SKU0463,WH4,130,434,Feb
SKU0328,WH1,51,310,Mar
SKU0314,WH1,130,212,Mar
SKU0078,WH3,297,234,Mar
SKU0065,WH2,466,159,May
SKU0449,WH6,353,401,Apr
SKU0273,WH7,496,381,Feb
SKU0165,WH3,178,430,Jan
SKU0333,WH4,411,471,Jun
SKU0183,WH4,342,270,Jan
SKU0206,WH3,225,325,May
SKU0244,WH1,435,419,Apr
SKU0144,WH7,447,154,Feb
SKU0303,WH5,272,353,Jun
SKU0489,WH6,295,244,Apr
SKU0214,WH6,205,350,Feb
SKU0309,WH1,474,284,Jun
SKU0213,WH1,67,355,Mar
SKU0486,WH8,385,394,May
SKU0316,WH7,363,283,Apr
SKU0434,WH4,444,380,Jan
SKU0227,WH3,212,143,Mar
SKU0467,WH2,388,273,Feb
SKU0270,WH3,225,462,May
SKU0217,WH1,465,251,Mar
SKU0244,WH2,121,129,Jun
SKU0270,WH7,236,107,Mar
SKU0111,WH6,301,141,Mar
SKU0310,WH8,221,252,Mar
SKU0109,WH8,356,301,May
SKU0449,WH8,148,91,Jun
SKU0439,WH5,317,109,May
SKU0166,WH5,299,296,Apr
SKU0247,WH7,158,253,May
SKU0378,WH3,195,113,May
SKU0243,WH2,145,92,Jun
SKU0273,WH1,215,218,Jun
SKU0053,WH8,294,425,Jan
SKU0342,WH4,375,367,Jun
SKU0090,WH3,190,215,Jun
SKU0255,WH7,440,130,Jan
SKU0452,WH4,277,281,Feb
SKU0296,WH2,424,396,Apr
SKU0427,WH3,300,420,Apr
SKU0115,WH5,381,247,Feb
SKU0360,WH2,340,483,Jan
SKU0303,WH2,51,417,May
SKU0437,WH2,390,425,Jun
SKU0393,WH4,268,469,Apr
SKU0381,WH3,204,206,Jun
SKU0191,WH2,316,441,Feb
SKU0283,WH5,259,344,May
SKU0153,WH2,312,377,Apr
SKU0485,WH4,179,131,May
SKU0443,WH1,107,193,Jan
SKU0011,WH6,395,136,Feb
SKU0196,WH7,249,473,Jan
SKU0269,WH4,393,191,Jan
SKU0288,WH8,490,324,Jan
SKU0148,WH8,50,248,Mar
SKU0017,WH7,101,408,Jan
SKU0023,WH4,161,468,Jun
SKU0388,WH8,480,254,May
SKU0086,WH4,401,150,Jun
SKU0487,WH6,276,353,Jan
SKU0480,WH8,339,234,Jun
SKU0086,WH1,278,395,Mar
SKU0011,WH7,416,119,Feb
SKU0194,WH2,184,220,Jun
SKU0345,WH2,328,486,Apr
SKU0400,WH1,258,477,Feb
SKU0094,WH8,489,245,Jun
SKU0165,WH3,119,444,Feb
SKU0332,WH3,431,73,Feb
SKU0429,WH2,240,143,Jan
SKU0160,WH4,251,442,Apr
SKU0322,WH5,201,367,May
SKU0161,WH1,220,119,Feb
SKU0043,WH8,222,166,Jun
SKU0180,WH3,461,405,Jan
SKU0324,WH6,400,177,Jun
SKU0249,WH3,405,378,Mar
SKU0114,WH4,336,465,Feb
SKU0369,WH4,487,272,Jun
SKU0328,WH5,210,347,Mar
SKU0476,WH4,497,233,Jan
SKU0459,WH2,209,84,Mar
SKU0340,WH5,252,454,Feb
SKU0098,WH2,181,280,Feb
SKU0184,WH7,375,499,Mar
SKU0269,WH8,209,137,Apr
SKU0319,WH4,267,167,Feb
SKU0301,WH5,337,141,Jun
SKU0400,WH5,216,194,Apr
SKU0440,WH8,334,397,Apr
SKU0449,WH3,161,491,Feb
SKU0116,WH4,209,187,Apr
SKU0458,WH3,282,382,Mar
SKU0013,WH5,319,363,Jan
SKU0181,WH1,73,145,May
SKU0225,WH8,466,274,Feb
SKU0111,WH3,272,485,Feb
SKU0374,WH5,458,136,Feb
SKU0017,WH6,423,75,Apr
SKU0050,WH1,73,214,Feb
SKU0256,WH5,343,471,Mar
SKU0040,WH6,119,191,Jan
SKU0427,WH1,103,254,May
SKU0308,WH1,342,230,Apr
SKU0400,WH4,238,289,Jan
SKU0043,WH8,418,333,Feb
SKU0377,WH1,487,151,Feb
SKU0080,WH5,162,266,Feb
SKU0179,WH2,89,452,Feb
SKU0321,WH2,63,488,May
SKU0341,WH7,216,382,Jan
SKU0444,WH1,197,225,Apr
SKU0024,WH2,143,473,May
SKU0310,WH2,312,412,Apr
SKU0430,WH2,264,96,Jan
SKU0276,WH3,360,106,Feb
SKU0490,WH2,101,488,Jan
SKU0433,WH2,113,468,Feb
SKU0014,WH4,239,299,Mar
SKU0129,WH7,282,116,May
SKU0086,WH5,70,93,May
SKU0245,WH5,499,125,Mar
