Order_ID,SKU_ID,Warehouse_ID,Customer_Region,Demand_Qty,Delivered_Qty,Order_Date,Order_Status
O000028,SKU0177,WH7,East,81,71,7/15/2023 6:00,DELIVERED
O000029,SKU0285,WH8,West,135,135,7/15/2023 7:00,DELAYED
O000030,SKU0063,WH6,East,134,58,7/15/2023 8:00,PARTIAL
O000031,SKU0491,WH1,South,52,52,7/15/2023 9:00,DELIVERED
O000032,SKU0150,WH3,West,202,202,7/15/2023 10:00,PARTIAL
O000033,SKU0154,WH6,East,198,159,7/15/2023 11:00,DELAYED
O000034,SKU0156,WH5,West,106,106,7/15/2023 12:00,DELIVERED
O000035,SKU0370,WH7,South,244,208,7/15/2023 13:00,DELAYED
O000036,SKU0469,WH8,West,233,233,7/15/2023 14:00,DELAYED
O000037,SKU0049,WH7,South,14,14,7/15/2023 15:00,DELAYED
O000038,SKU0455,WH8,South,225,188,7/15/2023 16:00,DELAYED
O000039,SKU0337,WH4,South,211,190,7/15/2023 17:00,DELIVERED
O000040,SKU0084,WH4,East,201,201,7/15/2023 18:00,PARTIAL
O000041,SKU0361,WH5,East,165,165,7/15/2023 19:00,PARTIAL
O000042,SKU0177,WH7,North,49,49,7/15/2023 20:00,DELAYED
O000043,SKU0148,WH8,East,133,133,7/15/2023 21:00,DELAYED
O000044,SKU0118,WH2,North,70,70,7/15/2023 22:00,DELAYED
O000045,SKU0342,WH3,West,119,119,7/15/2023 23:00,PARTIAL
O000046,SKU0476,WH2,South,139,126,7/16/2023 0:00,DELIVERED
O000047,SKU0063,WH5,East,243,180,7/16/2023 1:00,PARTIAL
O000048,SKU0189,WH5,South,181,43,7/16/2023 2:00,PARTIAL
O000049,SKU0360,WH3,North,183,183,7/16/2023 3:00,DELAYED
O000050,SKU0049,WH5,East,50,50,7/16/2023 4:00,DELAYED
O000051,SKU0327,WH5,East,181,88,7/16/2023 5:00,DELIVERED
O000052,SKU0257,WH7,East,125,14,7/16/2023 6:00,DELAYED
O000053,SKU0224,WH6,East,231,231,7/16/2023 7:00,DELAYED
O000054,SKU0141,WH8,South,3,3,7/16/2023 8:00,DELAYED
O000055,SKU0478,WH7,East,173,173,7/16/2023 9:00,PARTIAL
O000056,SKU0215,WH3,North,81,77,7/16/2023 10:00,DELIVERED
O000057,SKU0435,WH4,East,275,275,7/16/2023 11:00,DELIVERED
O000058,SKU0379,WH2,North,219,41,7/16/2023 12:00,PARTIAL
O000059,SKU0440,WH4,North,140,119,7/16/2023 13:00,PARTIAL
O000060,SKU0211,WH4,South,63,63,7/16/2023 14:00,DELAYED
O000061,SKU0318,WH6,East,27,27,7/16/2023 15:00,DELIVERED
O000062,SKU0032,WH2,North,196,196,7/16/2023 16:00,PARTIAL
O000063,SKU0158,WH4,East,152,69,7/16/2023 17:00,PARTIAL
O000064,SKU0285,WH8,South,252,213,7/16/2023 18:00,DELAYED
O000065,SKU0305,WH3,South,248,12,7/16/2023 19:00,DELAYED
O000066,SKU0429,WH2,East,154,113,7/16/2023 20:00,DELIVERED
O000067,SKU0477,WH1,North,210,210,7/16/2023 21:00,DELIVERED
O000068,SKU0286,WH6,West,22,22,7/16/2023 22:00,DELIVERED
O000069,SKU0144,WH8,West,70,55,7/16/2023 23:00,DELAYED
O000070,SKU0424,WH4,South,19,19,7/17/2023 0:00,DELIVERED
O000071,SKU0019,WH8,North,101,79,7/17/2023 1:00,DELAYED
O000072,SKU0018,WH8,West,162,151,7/17/2023 2:00,DELIVERED
O000073,SKU0257,WH5,North,139,139,7/17/2023 3:00,DELAYED
O000074,SKU0078,WH2,East,88,88,7/17/2023 4:00,DELIVERED
O000075,SKU0371,WH1,South,37,37,7/17/2023 5:00,PARTIAL
O000076,SKU0175,WH5,East,171,21,7/17/2023 6:00,DELAYED
O000077,SKU0498,WH8,East,260,178,7/17/2023 7:00,PARTIAL
O000078,SKU0194,WH1,East,271,71,7/17/2023 8:00,DELIVERED
O000079,SKU0476,WH8,North,255,94,7/17/2023 9:00,DELAYED
O000080,SKU0113,WH4,West,140,140,7/17/2023 10:00,DELIVERED
O000081,SKU0114,WH8,East,68,68,7/17/2023 11:00,DELAYED
O000082,SKU0222,WH5,South,68,68,7/17/2023 12:00,PARTIAL
O000083,SKU0166,WH4,North,169,169,7/17/2023 13:00,DELIVERED
O000084,SKU0435,WH5,West,105,105,7/17/2023 14:00,DELAYED
O000085,SKU0319,WH2,East,58,58,7/17/2023 15:00,PARTIAL
O000086,SKU0132,WH8,South,187,187,7/17/2023 16:00,PARTIAL
O000087,SKU0385,WH7,East,56,56,7/17/2023 17:00,PARTIAL
O000088,SKU0264,WH3,West,4,4,7/17/2023 18:00,DELIVERED
O000089,SKU0413,WH7,West,285,212,7/17/2023 19:00,DELIVERED
O000090,SKU0055,WH3,East,17,17,7/17/2023 20:00,PARTIAL
O000091,SKU0359,WH7,East,237,237,7/17/2023 21:00,DELAYED
O000092,SKU0131,WH1,North,250,115,7/17/2023 22:00,DELIVERED
O000093,SKU0288,WH6,West,24,24,7/17/2023 23:00,DELIVERED
O000094,SKU0266,WH5,West,116,6,7/18/2023 0:00,DELIVERED
O000095,SKU0458,WH4,East,238,125,7/18/2023 1:00,PARTIAL
O000096,SKU0467,WH6,South,169,169,7/18/2023 2:00,DELAYED
O000097,SKU0366,WH2,East,288,207,7/18/2023 3:00,DELIVERED
O000098,SKU0162,WH2,East,241,3,7/18/2023 4:00,DELAYED
O000099,SKU0380,WH2,West,298,66,7/18/2023 5:00,DELIVERED
O000100,SKU0481,WH3,North,290,208,7/18/2023 6:00,DELIVERED
O000101,SKU0087,WH4,East,251,251,7/18/2023 7:00,DELAYED
O000102,SKU0055,WH2,South,165,113,7/18/2023 8:00,DELAYED
O000103,SKU0476,WH2,South,141,139,7/18/2023 9:00,DELAYED
O000104,SKU0288,WH7,East,120,120,7/18/2023 10:00,PARTIAL
O000105,SKU0178,WH1,South,161,161,7/18/2023 11:00,DELAYED
O000106,SKU0391,WH5,South,105,35,7/18/2023 12:00,DELAYED
O000107,SKU0349,WH5,East,92,43,7/18/2023 13:00,DELAYED
O000108,SKU0008,WH8,South,204,169,7/18/2023 14:00,DELAYED
O000109,SKU0321,WH5,South,40,40,7/18/2023 15:00,DELAYED
O000110,SKU0313,WH6,East,54,42,7/18/2023 16:00,DELAYED
O000111,SKU0247,WH7,West,89,89,7/18/2023 17:00,DELAYED
O000112,SKU0323,WH7,North,135,85,7/18/2023 18:00,DELIVERED
O000113,SKU0472,WH1,North,2,2,7/18/2023 19:00,DELAYED
O000114,SKU0471,WH3,West,97,97,7/18/2023 20:00,DELAYED
O000115,SKU0443,WH6,East,56,56,7/18/2023 21:00,DELAYED
O000116,SKU0255,WH1,West,124,124,7/18/2023 22:00,DELAYED
O000117,SKU0328,WH2,North,185,185,7/18/2023 23:00,DELAYED
O000118,SKU0054,WH4,North,125,125,7/19/2023 0:00,DELIVERED
O000119,SKU0249,WH6,North,264,81,7/19/2023 1:00,PARTIAL
O000120,SKU0239,WH6,North,191,93,7/19/2023 2:00,DELAYED
O000121,SKU0229,WH2,East,215,139,7/19/2023 3:00,DELIVERED
O000122,SKU0067,WH2,North,221,218,7/19/2023 4:00,PARTIAL
O000123,SKU0051,WH4,North,199,199,7/19/2023 5:00,DELAYED
O000124,SKU0097,WH5,East,174,103,7/19/2023 6:00,DELIVERED
O000125,SKU0092,WH6,West,217,32,7/19/2023 7:00,PARTIAL
O000126,SKU0495,WH1,East,206,51,7/19/2023 8:00,PARTIAL
O000127,SKU0264,WH3,North,67,67,7/19/2023 9:00,PARTIAL
O000128,SKU0418,WH2,South,174,40,7/19/2023 10:00,PARTIAL
O000129,SKU0291,WH2,East,78,78,7/19/2023 11:00,PARTIAL
O000130,SKU0096,WH3,East,42,42,7/19/2023 12:00,DELIVERED
O000131,SKU0088,WH1,West,64,6,7/19/2023 13:00,DELAYED
O000132,SKU0078,WH8,North,199,95,7/19/2023 14:00,PARTIAL
O000133,SKU0288,WH2,South,90,90,7/19/2023 15:00,DELIVERED
O000134,SKU0120,WH3,East,7,7,7/19/2023 16:00,DELAYED
O000135,SKU0302,WH7,East,263,229,7/19/2023 17:00,DELIVERED
O000136,SKU0491,WH2,East,122,122,7/19/2023 18:00,DELIVERED
O000137,SKU0400,WH5,South,164,49,7/19/2023 19:00,PARTIAL
O000138,SKU0452,WH5,East,116,116,7/19/2023 20:00,DELAYED
O000139,SKU0500,WH2,East,13,13,7/19/2023 21:00,DELIVERED
O000140,SKU0165,WH7,South,20,20,7/19/2023 22:00,DELAYED
O000141,SKU0182,WH2,East,201,199,7/19/2023 23:00,PARTIAL
O000142,SKU0469,WH8,South,254,170,7/20/2023 0:00,DELAYED
O000143,SKU0398,WH8,West,86,86,7/20/2023 1:00,PARTIAL
O000144,SKU0223,WH5,South,180,28,7/20/2023 2:00,DELIVERED
O000145,SKU0311,WH8,West,237,89,7/20/2023 3:00,DELAYED
O000146,SKU0432,WH7,South,61,61,7/20/2023 4:00,DELAYED
O000147,SKU0466,WH8,North,215,73,7/20/2023 5:00,PARTIAL
O000148,SKU0007,WH2,East,215,215,7/20/2023 6:00,PARTIAL
O000149,SKU0330,WH7,West,90,80,7/20/2023 7:00,DELAYED
O000150,SKU0263,WH1,East,96,29,7/20/2023 8:00,DELIVERED
O000151,SKU0161,WH1,East,61,61,7/20/2023 9:00,DELIVERED
O000152,SKU0151,WH4,South,56,56,7/20/2023 10:00,DELIVERED
O000153,SKU0085,WH1,North,220,57,7/20/2023 11:00,DELIVERED
O000154,SKU0147,WH6,South,94,94,7/20/2023 12:00,PARTIAL
O000155,SKU0112,WH7,East,40,40,7/20/2023 13:00,PARTIAL
O000156,SKU0381,WH6,South,248,147,7/20/2023 14:00,DELIVERED
O000157,SKU0403,WH6,West,217,217,7/20/2023 15:00,DELIVERED
O000158,SKU0036,WH2,North,154,154,7/20/2023 16:00,DELAYED
O000159,SKU0285,WH2,East,62,62,7/20/2023 17:00,PARTIAL
O000160,SKU0188,WH3,South,240,50,7/20/2023 18:00,DELIVERED
O000161,SKU0082,WH7,West,190,190,7/20/2023 19:00,DELIVERED
O000162,SKU0002,WH6,North,146,146,7/20/2023 20:00,DELAYED
O000163,SKU0385,WH6,South,10,10,7/20/2023 21:00,DELIVERED
O000164,SKU0303,WH1,South,292,33,7/20/2023 22:00,DELAYED
O000165,SKU0197,WH5,East,130,102,7/20/2023 23:00,PARTIAL
O000166,SKU0404,WH7,West,60,60,7/21/2023 0:00,DELIVERED
O000167,SKU0011,WH5,North,175,175,7/21/2023 1:00,DELIVERED
O000168,SKU0234,WH7,South,73,73,7/21/2023 2:00,DELAYED
O000169,SKU0386,WH7,North,239,222,7/21/2023 3:00,DELAYED
O000170,SKU0195,WH4,West,179,179,7/21/2023 4:00,DELIVERED
O000171,SKU0471,WH3,East,67,67,7/21/2023 5:00,PARTIAL
O000172,SKU0119,WH5,East,81,81,7/21/2023 6:00,DELIVERED
O000173,SKU0396,WH4,East,77,77,7/21/2023 7:00,DELAYED
O000174,SKU0020,WH1,North,248,44,7/21/2023 8:00,PARTIAL
O000175,SKU0261,WH3,North,195,58,7/21/2023 9:00,DELIVERED
O000176,SKU0293,WH3,South,68,68,7/21/2023 10:00,PARTIAL
O000177,SKU0422,WH6,West,56,56,7/21/2023 11:00,DELAYED
O000178,SKU0256,WH7,West,99,99,7/21/2023 12:00,DELAYED
O000179,SKU0222,WH8,West,270,5,7/21/2023 13:00,DELAYED
O000180,SKU0393,WH7,North,76,76,7/21/2023 14:00,DELIVERED
O000181,SKU0226,WH2,East,66,66,7/21/2023 15:00,PARTIAL
O000182,SKU0053,WH7,West,33,33,7/21/2023 16:00,PARTIAL
O000183,SKU0428,WH7,South,269,114,7/21/2023 17:00,DELAYED
O000184,SKU0355,WH7,North,30,30,7/21/2023 18:00,DELIVERED
O000185,SKU0500,WH6,East,26,18,7/21/2023 19:00,DELAYED
O000186,SKU0342,WH1,West,210,173,7/21/2023 20:00,DELAYED
O000187,SKU0364,WH7,East,269,228,7/21/2023 21:00,DELIVERED
O000188,SKU0280,WH8,South,123,123,7/21/2023 22:00,DELAYED
O000189,SKU0081,WH6,West,33,33,7/21/2023 23:00,PARTIAL
O000190,SKU0202,WH8,West,143,143,7/22/2023 0:00,DELIVERED
O000191,SKU0158,WH3,East,145,9,7/22/2023 1:00,DELIVERED
O000192,SKU0120,WH6,North,262,122,7/22/2023 2:00,DELAYED
O000193,SKU0059,WH7,East,5,5,7/22/2023 3:00,DELIVERED
O000194,SKU0494,WH4,South,161,109,7/22/2023 4:00,DELAYED
O000195,SKU0215,WH6,East,144,31,7/22/2023 5:00,DELAYED
O000196,SKU0128,WH5,East,152,122,7/22/2023 6:00,DELAYED
O000197,SKU0224,WH1,West,5,5,7/22/2023 7:00,DELAYED
O000198,SKU0209,WH1,North,195,71,7/22/2023 8:00,PARTIAL
O000199,SKU0370,WH3,North,125,125,7/22/2023 9:00,DELAYED
O000200,SKU0115,WH6,North,76,76,7/22/2023 10:00,DELIVERED
O000201,SKU0209,WH8,North,169,169,7/22/2023 11:00,DELAYED
O000202,SKU0014,WH8,East,217,217,7/22/2023 12:00,DELAYED
O000203,SKU0009,WH3,West,183,19,7/22/2023 13:00,DELAYED
O000204,SKU0040,WH3,West,113,113,7/22/2023 14:00,PARTIAL
O000205,SKU0450,WH4,North,276,93,7/22/2023 15:00,DELAYED
O000206,SKU0237,WH2,East,178,53,7/22/2023 16:00,DELAYED
O000207,SKU0281,WH3,North,125,75,7/22/2023 17:00,DELIVERED
O000208,SKU0359,WH2,North,291,132,7/22/2023 18:00,PARTIAL
O000209,SKU0201,WH8,West,199,46,7/22/2023 19:00,DELIVERED
O000210,SKU0246,WH2,West,138,36,7/22/2023 20:00,DELAYED
O000211,SKU0278,WH1,North,218,132,7/22/2023 21:00,DELIVERED
O000212,SKU0235,WH8,East,297,130,7/22/2023 22:00,DELIVERED
O000213,SKU0494,WH5,North,168,167,7/22/2023 23:00,PARTIAL
O000214,SKU0004,WH8,West,134,134,7/23/2023 0:00,PARTIAL
O000215,SKU0154,WH5,West,161,161,7/23/2023 1:00,PARTIAL
O000216,SKU0442,WH6,East,272,91,7/23/2023 2:00,DELIVERED
O000217,SKU0029,WH4,North,280,280,7/23/2023 3:00,PARTIAL
O000218,SKU0109,WH4,North,248,122,7/23/2023 4:00,DELIVERED
O000219,SKU0098,WH5,South,222,222,7/23/2023 5:00,DELIVERED
O000220,SKU0215,WH6,North,172,172,7/23/2023 6:00,DELAYED
O000221,SKU0293,WH8,East,259,114,7/23/2023 7:00,DELIVERED
O000222,SKU0075,WH7,West,256,11,7/23/2023 8:00,DELAYED
O000223,SKU0326,WH5,South,168,168,7/23/2023 9:00,DELIVERED
O000224,SKU0146,WH8,East,120,78,7/23/2023 10:00,DELAYED
O000225,SKU0128,WH6,East,19,19,7/23/2023 11:00,PARTIAL
O000226,SKU0341,WH6,South,296,296,7/23/2023 12:00,DELAYED
O000227,SKU0042,WH6,North,247,104,7/23/2023 13:00,DELIVERED
O000228,SKU0356,WH6,South,205,205,7/23/2023 14:00,DELAYED
O000229,SKU0041,WH1,East,67,67,7/23/2023 15:00,DELAYED
O000230,SKU0422,WH8,North,185,5,7/23/2023 16:00,PARTIAL
O000231,SKU0034,WH1,West,108,108,7/23/2023 17:00,DELAYED
O000232,SKU0017,WH5,South,165,165,7/23/2023 18:00,PARTIAL
O000233,SKU0165,WH6,East,121,121,7/23/2023 19:00,DELAYED
O000234,SKU0153,WH3,North,84,84,7/23/2023 20:00,DELAYED
O000235,SKU0486,WH6,East,261,50,7/23/2023 21:00,DELIVERED
O000236,SKU0378,WH3,North,107,107,7/23/2023 22:00,DELIVERED
O000237,SKU0076,WH1,North,123,123,7/23/2023 23:00,PARTIAL
O000238,SKU0087,WH6,South,73,73,7/24/2023 0:00,PARTIAL
O000239,SKU0117,WH2,West,154,79,7/24/2023 1:00,DELIVERED
O000240,SKU0362,WH5,North,289,183,7/24/2023 2:00,PARTIAL
O000241,SKU0342,WH6,East,97,97,7/24/2023 3:00,DELIVERED
O000242,SKU0469,WH4,North,292,186,7/24/2023 4:00,DELAYED
O000243,SKU0027,WH3,West,278,173,7/24/2023 5:00,PARTIAL
O000244,SKU0313,WH7,East,254,138,7/24/2023 6:00,DELAYED
O000245,SKU0287,WH7,North,82,82,7/24/2023 7:00,DELIVERED
O000246,SKU0134,WH6,North,17,17,7/24/2023 8:00,PARTIAL
O000247,SKU0219,WH8,South,180,180,7/24/2023 9:00,PARTIAL
O000248,SKU0168,WH2,West,216,216,7/24/2023 10:00,PARTIAL
O000249,SKU0098,WH3,North,22,22,7/24/2023 11:00,PARTIAL
O000250,SKU0268,WH2,West,236,20,7/24/2023 12:00,DELAYED
O000251,SKU0237,WH7,North,211,88,7/24/2023 13:00,PARTIAL
O000252,SKU0309,WH5,East,286,286,7/24/2023 14:00,PARTIAL
O000253,SKU0455,WH7,West,207,207,7/24/2023 15:00,PARTIAL
O000254,SKU0394,WH5,East,255,30,7/24/2023 16:00,PARTIAL
O000255,SKU0173,WH5,West,11,11,7/24/2023 17:00,DELIVERED
O000256,SKU0401,WH1,East,34,34,7/24/2023 18:00,DELAYED
O000257,SKU0410,WH7,North,121,121,7/24/2023 19:00,DELIVERED
O000258,SKU0469,WH8,East,236,10,7/24/2023 20:00,DELAYED
O000259,SKU0476,WH7,East,183,183,7/24/2023 21:00,PARTIAL
O000260,SKU0190,WH2,North,78,78,7/24/2023 22:00,PARTIAL
O000261,SKU0122,WH6,West,123,123,7/24/2023 23:00,DELIVERED
O000262,SKU0046,WH4,East,276,61,7/25/2023 0:00,DELAYED
O000263,SKU0064,WH4,South,208,14,7/25/2023 1:00,PARTIAL
O000264,SKU0130,WH8,South,186,186,7/25/2023 2:00,DELAYED
O000265,SKU0310,WH5,East,17,17,7/25/2023 3:00,DELAYED
O000266,SKU0363,WH8,East,290,26,7/25/2023 4:00,DELAYED
O000267,SKU0193,WH4,East,254,39,7/25/2023 5:00,DELAYED
O000268,SKU0307,WH8,West,99,99,7/25/2023 6:00,DELIVERED
O000269,SKU0181,WH3,North,147,147,7/25/2023 7:00,PARTIAL
O000270,SKU0292,WH2,South,114,114,7/25/2023 8:00,PARTIAL
O000271,SKU0371,WH2,South,97,97,7/25/2023 9:00,PARTIAL
O000272,SKU0282,WH8,West,170,116,7/25/2023 10:00,DELAYED
O000273,SKU0029,WH2,East,199,199,7/25/2023 11:00,DELAYED
O000274,SKU0149,WH3,East,177,177,7/25/2023 12:00,DELAYED
O000275,SKU0267,WH6,North,124,124,7/25/2023 13:00,DELAYED
O000276,SKU0296,WH1,North,157,157,7/25/2023 14:00,DELIVERED
O000277,SKU0011,WH3,South,95,95,7/25/2023 15:00,DELAYED
O000278,SKU0164,WH2,North,286,115,7/25/2023 16:00,DELAYED
O000279,SKU0113,WH2,South,99,99,7/25/2023 17:00,DELAYED
O000280,SKU0187,WH7,West,235,235,7/25/2023 18:00,DELAYED
O000281,SKU0295,WH2,East,190,16,7/25/2023 19:00,DELIVERED
O000282,SKU0232,WH6,East,294,148,7/25/2023 20:00,DELAYED
O000283,SKU0227,WH4,South,273,262,7/25/2023 21:00,PARTIAL
O000284,SKU0310,WH1,East,18,18,7/25/2023 22:00,DELAYED
O000285,SKU0098,WH3,West,174,174,7/25/2023 23:00,DELIVERED
O000286,SKU0055,WH8,North,120,114,7/26/2023 0:00,DELAYED
O000287,SKU0111,WH2,West,256,8,7/26/2023 1:00,PARTIAL
O000288,SKU0152,WH7,East,96,96,7/26/2023 2:00,DELAYED
O000289,SKU0246,WH7,West,31,31,7/26/2023 3:00,DELIVERED
O000290,SKU0406,WH5,East,97,16,7/26/2023 4:00,DELAYED
O000291,SKU0069,WH1,South,193,193,7/26/2023 5:00,DELIVERED
O000292,SKU0312,WH7,North,233,96,7/26/2023 6:00,DELAYED
O000293,SKU0289,WH5,North,46,46,7/26/2023 7:00,DELAYED
O000294,SKU0250,WH1,East,291,226,7/26/2023 8:00,DELAYED
O000295,SKU0036,WH2,East,236,29,7/26/2023 9:00,DELIVERED
O000296,SKU0239,WH1,North,49,49,7/26/2023 10:00,PARTIAL
O000297,SKU0148,WH1,West,162,119,7/26/2023 11:00,DELAYED
O000298,SKU0467,WH8,West,285,171,7/26/2023 12:00,DELIVERED
O000299,SKU0227,WH2,West,134,34,7/26/2023 13:00,DELAYED
O000300,SKU0244,WH6,North,257,257,7/26/2023 14:00,DELAYED
O000301,SKU0491,WH7,South,183,183,7/26/2023 15:00,DELIVERED
O000302,SKU0337,WH5,East,27,27,7/26/2023 16:00,DELAYED
O000303,SKU0446,WH8,East,140,9,7/26/2023 17:00,DELIVERED
O000304,SKU0365,WH8,North,260,133,7/26/2023 18:00,DELIVERED
O000305,SKU0491,WH6,South,80,80,7/26/2023 19:00,DELAYED
O000306,SKU0482,WH5,North,180,16,7/26/2023 20:00,DELAYED
O000307,SKU0201,WH4,West,267,187,7/26/2023 21:00,DELIVERED
O000308,SKU0154,WH7,West,52,52,7/26/2023 22:00,DELIVERED
O000309,SKU0450,WH5,East,84,84,7/26/2023 23:00,PARTIAL
O000310,SKU0073,WH5,East,156,84,7/27/2023 0:00,DELIVERED
O000311,SKU0201,WH1,East,104,104,7/27/2023 1:00,DELAYED
O000312,SKU0296,WH4,East,97,92,7/27/2023 2:00,DELIVERED
O000313,SKU0017,WH2,West,125,125,7/27/2023 3:00,DELAYED
O000314,SKU0129,WH2,West,183,62,7/27/2023 4:00,PARTIAL
O000315,SKU0217,WH3,South,54,33,7/27/2023 5:00,DELIVERED
O000316,SKU0061,WH4,East,164,143,7/27/2023 6:00,DELAYED
O000317,SKU0427,WH1,North,149,123,7/27/2023 7:00,DELAYED
O000318,SKU0104,WH3,South,290,115,7/27/2023 8:00,DELAYED
O000319,SKU0042,WH3,South,87,80,7/27/2023 9:00,DELAYED
O000320,SKU0025,WH2,West,162,162,7/27/2023 10:00,PARTIAL
O000321,SKU0039,WH5,East,168,136,7/27/2023 11:00,DELAYED
O000322,SKU0291,WH1,South,135,95,7/27/2023 12:00,DELIVERED
O000323,SKU0131,WH8,East,90,90,7/27/2023 13:00,PARTIAL
O000324,SKU0498,WH8,West,81,81,7/27/2023 14:00,DELAYED
O000325,SKU0229,WH4,South,231,88,7/27/2023 15:00,PARTIAL
O000326,SKU0108,WH3,South,89,89,7/27/2023 16:00,DELIVERED
O000327,SKU0172,WH1,North,293,59,7/27/2023 17:00,PARTIAL
O000328,SKU0435,WH2,West,2,2,7/27/2023 18:00,PARTIAL
O000329,SKU0478,WH3,North,222,60,7/27/2023 19:00,DELAYED
O000330,SKU0102,WH3,West,17,17,7/27/2023 20:00,DELAYED
O000331,SKU0354,WH6,North,196,52,7/27/2023 21:00,DELAYED
O000332,SKU0012,WH2,West,120,120,7/27/2023 22:00,DELAYED
O000333,SKU0275,WH8,West,242,242,7/27/2023 23:00,DELIVERED
O000334,SKU0101,WH6,South,174,36,7/28/2023 0:00,DELIVERED
O000335,SKU0044,WH2,North,32,32,7/28/2023 1:00,PARTIAL
O000336,SKU0443,WH2,North,275,69,7/28/2023 2:00,DELIVERED
O000337,SKU0305,WH6,North,195,141,7/28/2023 3:00,DELAYED
O000338,SKU0445,WH8,South,4,4,7/28/2023 4:00,DELIVERED
O000339,SKU0017,WH7,East,281,267,7/28/2023 5:00,PARTIAL
O000340,SKU0330,WH1,West,21,8,7/28/2023 6:00,DELIVERED
O000341,SKU0057,WH1,North,238,62,7/28/2023 7:00,PARTIAL
O000342,SKU0311,WH7,West,93,93,7/28/2023 8:00,PARTIAL
O000343,SKU0497,WH1,South,89,89,7/28/2023 9:00,DELAYED
O000344,SKU0303,WH5,West,113,113,7/28/2023 10:00,PARTIAL
O000345,SKU0012,WH3,South,221,58,7/28/2023 11:00,PARTIAL
O000346,SKU0318,WH1,East,98,8,7/28/2023 12:00,DELAYED
O000347,SKU0080,WH5,North,142,64,7/28/2023 13:00,PARTIAL
O000348,SKU0216,WH3,South,150,150,7/28/2023 14:00,DELIVERED
O000349,SKU0339,WH1,West,48,48,7/28/2023 15:00,DELIVERED
O000350,SKU0264,WH2,South,51,51,7/28/2023 16:00,DELIVERED
O000351,SKU0479,WH7,South,208,79,7/28/2023 17:00,PARTIAL
O000352,SKU0149,WH4,East,11,11,7/28/2023 18:00,PARTIAL
O000353,SKU0081,WH1,North,270,188,7/28/2023 19:00,DELAYED
O000354,SKU0215,WH4,South,263,148,7/28/2023 20:00,PARTIAL
O000355,SKU0485,WH1,South,197,95,7/28/2023 21:00,PARTIAL
O000356,SKU0374,WH2,West,186,115,7/28/2023 22:00,DELIVERED
O000357,SKU0464,WH7,South,296,173,7/28/2023 23:00,DELIVERED
O000358,SKU0198,WH8,South,221,122,7/29/2023 0:00,PARTIAL
O000359,SKU0200,WH7,North,81,81,7/29/2023 1:00,DELAYED
O000360,SKU0025,WH4,North,222,165,7/29/2023 2:00,DELIVERED
O000361,SKU0466,WH5,West,170,170,7/29/2023 3:00,PARTIAL
O000362,SKU0089,WH2,South,86,86,7/29/2023 4:00,DELAYED
O000363,SKU0268,WH4,South,44,44,7/29/2023 5:00,DELAYED
O000364,SKU0143,WH4,South,261,75,7/29/2023 6:00,PARTIAL
O000365,SKU0059,WH6,East,104,104,7/29/2023 7:00,DELIVERED
O000366,SKU0410,WH6,East,284,201,7/29/2023 8:00,DELAYED
O000367,SKU0489,WH2,West,228,222,7/29/2023 9:00,DELAYED
O000368,SKU0365,WH2,East,188,93,7/29/2023 10:00,DELAYED
O000369,SKU0026,WH2,West,121,38,7/29/2023 11:00,DELIVERED
