Shipment_ID,Warehouse_ID,Carrier,Origin,Destination,Freight_Cost,Delivery_Days,,,
SHP00240,WH6,BlueDart,Chennai,Bangalore,13889,7,,,
SHP00241,WH6,FedEx,Mumbai,Delhi,7889,3,,,
SHP00242,WH7,DHL,Pune,Hyderabad,4776,9,,,
SHP00243,WH1,DHL,Mumbai,Delhi,7480,4,,,
SHP00244,WH7,DHL,Mumbai,Delhi,5937,5,,,
SHP00245,WH4,FedEx,Chennai,Bangalore,18701,8,,,
SHP00246,WH1,DHL,Chennai,Bangalore,6762,9,,,
SHP00247,WH2,DHL,Mumbai,Delhi,4856,2,,,
SHP00248,WH5,UPS,Pune,Hyderabad,9964,3,,,
SHP00249,WH1,UPS,Pune,Hyderabad,8421,9,,,
SHP00250,WH5,BlueDart,Mumbai,Delhi,3269,7,,,
SHP00251,WH8,BlueDart,Pune,Hyderabad,15124,2,,,
SHP00252,WH1,DHL,Mumbai,Delhi,12311,5,,,
SHP00253,WH7,UPS,Chennai,Bangalore,1059,4,,,
SHP00254,WH8,BlueDart,Pune,Hyderabad,5216,1,,,
SHP00255,WH4,FedEx,Mumbai,Delhi,16824,8,,,
SHP00256,WH3,DHL,Mumbai,Delhi,14700,1,,,
SHP00257,WH8,UPS,Pune,Hyderabad,6701,9,,,
SHP00258,WH3,UPS,Mumbai,Delhi,14078,4,,,
SHP00259,WH2,FedEx,Mumbai,Delhi,1912,4,,,
SHP00260,WH7,DHL,Pune,Hyderabad,14158,1,,,
SHP00261,WH1,FedEx,Mumbai,Delhi,18003,3,,,
SHP00262,WH4,BlueDart,Pune,Hyderabad,12428,3,,,
SHP00263,WH7,DHL,Mumbai,Delhi,17011,8,,,
SHP00264,WH6,DHL,Mumbai,Delhi,3948,7,,,
SHP00265,WH5,FedEx,Mumbai,Delhi,5546,6,,,
SHP00266,WH2,BlueDart,Mumbai,Delhi,7886,6,,,
SHP00267,WH6,FedEx,Mumbai,Delhi,5098,8,,,
SHP00268,WH6,BlueDart,Pune,Hyderabad,6764,4,,,
SHP00269,WH3,FedEx,Mumbai,Delhi,18001,4,,,
SHP00270,WH2,FedEx,Pune,Hyderabad,5131,4,,,
SHP00271,WH8,BlueDart,Chennai,Bangalore,1376,5,,,
SHP00272,WH4,DHL,Pune,Hyderabad,13879,6,,,
SHP00273,WH8,DHL,Chennai,Bangalore,15108,3,,,
SHP00274,WH5,UPS,Mumbai,Delhi,17745,6,,,
SHP00275,WH4,UPS,Pune,Hyderabad,3929,5,,,
SHP00276,WH3,DHL,Pune,Hyderabad,8599,6,,,
SHP00277,WH8,DHL,Chennai,Bangalore,1368,6,,,
SHP00278,WH5,BlueDart,Chennai,Bangalore,3629,1,,,
SHP00279,WH2,UPS,Chennai,Bangalore,8241,2,,,
SHP00280,WH2,DHL,Chennai,Bangalore,3577,2,,,
SHP00281,WH6,DHL,Mumbai,Delhi,7207,5,,,
SHP00282,WH5,UPS,Chennai,Bangalore,12120,3,,,
SHP00283,WH1,UPS,Pune,Hyderabad,18428,1,,,
SHP00284,WH4,FedEx,Pune,Hyderabad,6423,5,,,
SHP00285,WH3,BlueDart,Chennai,Bangalore,17149,6,,,
SHP00286,WH5,FedEx,Chennai,Bangalore,14856,2,,,
SHP00287,WH8,BlueDart,Mumbai,Delhi,8545,8,,,
SHP00288,WH1,DHL,Pune,Hyderabad,8166,5,,,
SHP00289,WH8,BlueDart,Chennai,Bangalore,3501,3,,,
SHP00290,WH1,DHL,Mumbai,Delhi,7675,2,,,
SHP00291,WH5,UPS,Chennai,Bangalore,5442,6,,,
SHP00292,WH8,BlueDart,Mumbai,Delhi,14311,1,,,
SHP00293,WH5,DHL,Mumbai,Delhi,1378,8,,,
SHP00294,WH6,BlueDart,Mumbai,Delhi,10866,5,,,
SHP00295,WH1,BlueDart,Pune,Hyderabad,7520,1,,,
SHP00296,WH7,DHL,Mumbai,Delhi,14783,9,,,
SHP00297,WH8,UPS,Chennai,Bangalore,14544,7,,,
SHP00298,WH6,DHL,Mumbai,Delhi,14587,1,,,
SHP00299,WH5,BlueDart,Mumbai,Delhi,10430,7,,,
SHP00300,WH3,UPS,Mumbai,Delhi,1068,3,,,
SHP00301,WH8,UPS,Mumbai,Delhi,19288,2,,,
SHP00302,WH5,FedEx,Mumbai,Delhi,12742,6,,,
SHP00303,WH4,BlueDart,Chennai,Bangalore,13530,3,,,
SHP00304,WH2,BlueDart,Pune,Hyderabad,4958,9,,,
SHP00305,WH6,FedEx,Pune,Hyderabad,14630,3,,,
SHP00306,WH3,BlueDart,Mumbai,Delhi,14150,9,,,
SHP00307,WH5,FedEx,Mumbai,Delhi,2356,4,,,
SHP00308,WH8,UPS,Mumbai,Delhi,1299,4,,,
SHP00309,WH5,UPS,Chennai,Bangalore,15463,2,,,
SHP00310,WH2,UPS,Pune,Hyderabad,19549,9,,,
SHP00311,WH1,BlueDart,Pune,Hyderabad,12344,5,,,
SHP00312,WH8,UPS,Mumbai,Delhi,4183,1,,,
SHP00313,WH5,FedEx,Pune,Hyderabad,11613,9,,,
SHP00314,WH1,UPS,Mumbai,Delhi,10665,9,,,
SHP00315,WH5,UPS,Pune,Hyderabad,2359,9,,,
SHP00316,WH2,UPS,Mumbai,Delhi,15869,2,,,
SHP00317,WH3,BlueDart,Mumbai,Delhi,18192,6,,,
SHP00318,WH2,BlueDart,Chennai,Bangalore,12125,4,,,
SHP00319,WH7,UPS,Chennai,Bangalore,1098,1,,,
SHP00320,WH2,DHL,Pune,Hyderabad,11968,8,,,
SHP00321,WH8,UPS,Mumbai,Delhi,9729,7,,,
SHP00322,WH1,UPS,Mumbai,Delhi,18515,8,,,
SHP00323,WH5,UPS,Chennai,Bangalore,3805,8,,,
SHP00324,WH2,DHL,Pune,Hyderabad,4031,3,,,
SHP00325,WH5,DHL,Pune,Hyderabad,6802,7,,,
SHP00326,WH7,UPS,Pune,Hyderabad,17743,9,,,
SHP00327,WH5,FedEx,Pune,Hyderabad,3116,2,,,
SHP00328,WH5,BlueDart,Chennai,Bangalore,10945,3,,,
SHP00329,WH7,DHL,Mumbai,Delhi,9001,4,,,
SHP00330,WH2,UPS,Chennai,Bangalore,2720,6,,,
SHP00331,WH8,BlueDart,Mumbai,Delhi,12126,9,,,
SHP00332,WH6,DHL,Chennai,Bangalore,8522,9,,,
SHP00333,WH5,FedEx,Mumbai,Delhi,8836,9,,,
SHP00334,WH3,BlueDart,Mumbai,Delhi,17181,6,,,
SHP00335,WH7,BlueDart,Chennai,Bangalore,19808,6,,,
SHP00336,WH6,FedEx,Mumbai,Delhi,5509,8,,,
SHP00337,WH3,BlueDart,Chennai,Bangalore,7479,5,,,
SHP00338,WH6,DHL,Chennai,Bangalore,13837,1,,,
SHP00339,WH1,BlueDart,Pune,Hyderabad,6684,1,,,
SHP00340,WH7,FedEx,Chennai,Bangalore,8021,9,,,
SHP00341,WH3,DHL,Chennai,Bangalore,8795,5,,,
SHP00342,WH6,BlueDart,Mumbai,Delhi,11580,2,,,
SHP00343,WH7,BlueDart,Mumbai,Delhi,4482,9,,,
SHP00344,WH2,UPS,Mumbai,Delhi,3294,5,,,
SHP00345,WH3,DHL,Pune,Hyderabad,19291,7,,,
SHP00346,WH7,BlueDart,Chennai,Bangalore,17766,3,,,
SHP00347,WH2,DHL,Pune,Hyderabad,4191,3,,,
SHP00348,WH1,DHL,Mumbai,Delhi,13086,6,,,
SHP00349,WH4,UPS,Chennai,Bangalore,12998,1,,,
SHP00350,WH7,BlueDart,Pune,Hyderabad,11841,6,,,
SHP00351,WH3,UPS,Chennai,Bangalore,13099,5,,,
SHP00352,WH6,UPS,Chennai,Bangalore,16823,2,,,
SHP00353,WH7,UPS,Pune,Hyderabad,7459,8,,,
SHP00354,WH8,DHL,Pune,Hyderabad,14174,8,,,
SHP00355,WH1,DHL,Pune,Hyderabad,11338,9,,,
SHP00356,WH5,FedEx,Pune,Hyderabad,12167,3,,,
SHP00357,WH3,FedEx,Pune,Hyderabad,11860,9,,,
SHP00358,WH3,FedEx,Chennai,Bangalore,7857,9,,,
SHP00359,WH6,BlueDart,Chennai,Bangalore,18733,2,,,
SHP00360,WH8,DHL,Chennai,Bangalore,9534,2,,,
SHP00361,WH3,DHL,Mumbai,Delhi,15489,5,,,
SHP00362,WH2,DHL,Chennai,Bangalore,15340,6,,,
SHP00363,WH6,DHL,Chennai,Bangalore,18047,1,,,
SHP00364,WH4,DHL,Mumbai,Delhi,18357,1,,,
SHP00365,WH1,UPS,Pune,Hyderabad,6121,6,,,
SHP00366,WH7,DHL,Mumbai,Delhi,15893,6,,,
SHP00367,WH5,BlueDart,Mumbai,Delhi,4225,6,,,
SHP00368,WH1,BlueDart,Mumbai,Delhi,10322,8,,,
SHP00369,WH7,UPS,Mumbai,Delhi,3842,3,,,
SHP00370,WH4,UPS,Mumbai,Delhi,2908,2,,,
SHP00371,WH8,UPS,Chennai,Bangalore,16207,4,,,
SHP00372,WH2,DHL,Pune,Hyderabad,4829,9,,,
SHP00373,WH6,UPS,Chennai,Bangalore,6373,1,,,
SHP00374,WH2,UPS,Chennai,Bangalore,10613,6,,,
SHP00375,WH3,DHL,Chennai,Bangalore,6067,8,,,
SHP00376,WH5,FedEx,Pune,Hyderabad,1902,2,,,
SHP00377,WH7,DHL,Mumbai,Delhi,18871,4,,,
SHP00378,WH6,UPS,Chennai,Bangalore,16250,4,,,
SHP00379,WH1,BlueDart,Mumbai,Delhi,9440,4,,,
SHP00380,WH2,UPS,Mumbai,Delhi,15265,2,,,
SHP00381,WH8,FedEx,Chennai,Bangalore,16013,7,,,
SHP00382,WH5,DHL,Mumbai,Delhi,12113,6,,,
SHP00383,WH3,BlueDart,Pune,Hyderabad,14101,8,,,
SHP00384,WH5,FedEx,Chennai,Bangalore,4152,9,,,
SHP00385,WH6,FedEx,Chennai,Bangalore,15501,3,,,
SHP00386,WH6,FedEx,Pune,Hyderabad,16581,4,,,
SHP00387,WH5,UPS,Mumbai,Delhi,3042,6,,,
SHP00388,WH8,FedEx,Mumbai,Delhi,18700,3,,,
SHP00389,WH2,UPS,Pune,Hyderabad,3687,3,,,
SHP00390,WH4,DHL,Chennai,Bangalore,3587,9,,,
SHP00391,WH2,UPS,Chennai,Bangalore,13525,3,,,
SHP00392,WH5,UPS,Pune,Hyderabad,9705,8,,,
SHP00393,WH3,FedEx,Chennai,Bangalore,3487,3,,,
SHP00394,WH5,DHL,Chennai,Bangalore,3106,2,,,
SHP00395,WH7,FedEx,Mumbai,Delhi,10563,3,,,
SHP00396,WH1,FedEx,Mumbai,Delhi,10375,6,,,
SHP00397,WH6,BlueDart,Mumbai,Delhi,4890,3,,,
SHP00398,WH6,FedEx,Chennai,Bangalore,9443,3,,,
SHP00399,WH3,FedEx,Chennai,Bangalore,4843,3,,,
SHP00400,WH7,DHL,Mumbai,Delhi,3514,8,,,
SHP00401,WH8,BlueDart,Mumbai,Delhi,14260,9,,,
SHP00402,WH5,BlueDart,Chennai,Bangalore,14475,5,,,
SHP00403,WH5,BlueDart,Chennai,Bangalore,13630,3,,,
SHP00404,WH6,BlueDart,Mumbai,Delhi,4087,6,,,
SHP00405,WH5,UPS,Mumbai,Delhi,3517,1,,,
SHP00406,WH6,BlueDart,Chennai,Bangalore,9200,4,,,
SHP00407,WH1,UPS,Mumbai,Delhi,7356,2,,,
SHP00408,WH5,BlueDart,Mumbai,Delhi,17761,7,,,
SHP00409,WH3,FedEx,Chennai,Bangalore,18073,5,,,
SHP00410,WH7,BlueDart,Mumbai,Delhi,18408,1,,,
SHP00411,WH2,DHL,Mumbai,Delhi,10862,1,,,
SHP00412,WH3,UPS,Pune,Hyderabad,5909,7,,,
